;0;1;2;3;4;5;6;7;8;9;10;11;12
steam;3.0726555e-06;1.2814241e-06;1.9801753e-06;1.4008511e-05;1.9209522e-06;1.19700935e-05;2.0450202e-06;5.5218516e-06;1.7071677e-06;5.1873008e-06;0.00032220664;1.850592e-06;2.2845225e-06
badly;6.093288e-06;4.2885637e-05;1.0540178e-05;5.842115e-05;1.7138716e-05;1.0347799e-05;1.2614856e-05;8.734064e-05;9.244775e-05;2.8411027e-05;6.3545645e-05;8.976182e-05;0.00031582316
david;0.006210888;0.00030312213;0.0009977603;0.0006592238;0.00057421665;0.00023259573;0.0010001034;0.0020558897;0.0010947296;0.0014050108;0.00053958205;0.00270166;0.0006277203
lourde;1.9615563e-06;5.5483156e-07;1.0415831e-06;1.3214681e-06;1.0537378e-06;2.8888244e-06;0.00012154015;1.5712599e-06;1.9325696e-06;1.1330506e-05;2.1110732e-06;1.3523915e-06;1.8943384e-06
connecticut;2.9011776e-06;7.6879036e-07;1.7604806e-06;1.577055e-05;1.9588322e-06;2.2314505e-06;1.5105675e-06;7.384394e-06;3.562107e-06;5.7348192e-05;2.6916852e-05;1.0041977e-05;1.6369739e-05
energia;2.2138536e-06;2.1458722e-07;1.2188518e-06;1.7252212e-06;1.3327663e-06;1.3374519e-06;1.1067189e-06;1.5675301e-06;1.0839203e-06;2.1095611e-06;0.00018515241;1.4480332e-06;1.0001444e-06
middle;0.0002892757;0.00012677943;0.000120864024;0.00014370045;3.6980935e-05;0.000121531295;0.00020651915;0.0003209807;0.0005637236;0.0003101913;0.000119217766;6.206077e-05;0.00038359626
asic;4.242934e-06;5.496257e-07;3.1106087e-05;2.0149519e-06;1.8051958e-06;1.1960576e-06;1.0202342e-06;1.6195345e-06;1.2898082e-06;1.6807727e-06;1.8851111e-06;4.6275676e-05;1.1766075e-06
tokyo;2.1525248e-05;9.3131047e-07;4.8452275e-06;2.647319e-06;7.142817e-05;1.4536537e-06;1.3843937e-06;1.6346075e-05;1.5109184e-06;3.2067571e-06;3.1929943e-05;9.741352e-06;3.846799e-05
testimony;1.7481769e-06;2.4584922e-06;1.2009867e-06;2.0422801e-06;1.3018654e-06;5.095532e-06;0.00017596793;8.793719e-06;0.0001086958;9.711336e-06;2.9585603e-06;2.2607423e-06;5.2358388e-05
matter;2.6794492e-05;0.0009431503;4.4523942e-05;0.00042212618;6.260081e-05;0.002052964;0.0011374006;0.00049243245;0.0009411298;8.8758345e-05;0.0007253328;0.0005889223;0.00057853543
telecommunication;3.6161077e-06;1.7810565e-07;1.8981441e-06;2.126858e-06;5.12315e-06;1.6505217e-06;1.1912649e-06;1.5098473e-06;1.4537194e-06;2.4821313e-06;5.3832217e-05;0.00028053153;1.348883e-06
idle;7.3620654e-06;1.0451846e-05;7.575179e-05;0.00021145234;7.981759e-05;1.879129e-05;4.354986e-05;0.00033067924;2.7136825e-06;3.3085319e-06;6.0380935e-06;5.5593922e-05;2.6712669e-06
diving;2.7645158e-06;6.1536497e-07;1.6379277e-06;2.0683415e-06;3.2662072e-06;1.9614456e-06;1.5729947e-06;1.44099895e-05;3.0073843e-06;1.158946e-05;5.7965895e-05;1.8177861e-06;4.633119e-06
timmon;1.7316289e-06;5.7450785e-07;1.2219721e-06;1.3223329e-06;1.0364727e-06;2.624644e-06;0.00015919983;1.6357678e-06;1.7099719e-06;2.0079797e-06;1.8005758e-06;1.5825208e-06;1.2313584e-06
province;2.4573112e-06;3.15504e-07;1.5230606e-06;3.7698777e-05;1.6180051e-06;2.115102e-06;1.5686803e-06;2.5697675e-06;2.1948517e-06;0.0005732867;5.739171e-06;1.8314004e-06;2.8997326e-06
oscar;6.661489e-06;1.4563346e-06;6.9287357e-06;3.6020604e-06;2.1874284e-06;1.7733488e-06;2.2860195e-06;0.00016171038;3.88967e-06;2.5257148e-06;1.5500964e-05;2.0650143e-06;2.6219495e-06
lehigh;0.00046869923;5.874265e-06;0.00011081955;0.00043302035;3.0079898e-06;2.3866999e-06;1.0770787e-06;6.8583526e-05;4.012887e-06;0.0001011286;5.238233e-06;2.5897646e-06;3.4667742e-06
impress;3.9089366e-05;2.0688734e-05;6.3799984e-05;2.7556905e-05;6.5570343e-06;2.5546611e-05;2.7519936e-06;2.9746481e-05;3.0896367e-06;3.448682e-06;3.0284143e-06;2.287679e-06;2.3352038e-06
champ;3.4677046e-06;8.094785e-07;3.7652064e-06;1.8020138e-06;1.2174374e-06;9.125997e-07;9.3838986e-07;0.00023691922;1.3198236e-06;1.701393e-06;1.8453048e-06;1.1245439e-06;1.1226089e-06
theserial;2.541662e-06;3.9128446e-07;4.428979e-06;1.9273086e-06;1.4295672e-06;1.1744226e-06;1.0625241e-06;1.6443562e-06;1.4092176e-06;1.8267632e-06;1.8257572e-06;7.167956e-05;1.2226453e-06
sheffield;3.511299e-06;4.4380135e-07;2.4292895e-06;1.9019742e-06;3.0801595e-05;9.781807e-07;1.0851205e-06;0.00018184795;1.3222361e-06;1.8692027e-06;2.481292e-06;1.441927e-06;1.1137473e-06
sarto;1.6228984e-06;4.2214313e-07;9.548602e-07;1.1253337e-06;9.484306e-07;1.5933259e-06;5.4892782e-05;1.1512774e-06;1.2100427e-06;1.6951624e-06;1.7059283e-06;1.0421479e-06;8.634777e-07
treasury;1.9580445e-06;2.3526263e-06;1.5109545e-06;8.181381e-06;1.4330752e-06;2.059093e-06;1.5151556e-05;2.6667485e-06;5.8821395e-05;3.933046e-06;2.5928239e-06;2.4757128e-05;0.0001115345
crony;2.7437243e-06;6.485945e-07;1.6081465e-06;4.0298405e-06;1.996065e-06;1.6446908e-06;1.5503632e-06;2.4588476e-06;5.727052e-06;5.9587805e-05;2.7487804e-06;1.7696251e-06;1.30751e-05
velocity;5.3190006e-06;5.346725e-07;1.5288257e-05;1.9818212e-05;3.9456036e-06;2.6499838e-06;1.4009784e-06;2.7728183e-06;2.1339433e-06;3.6212505e-06;0.0005104162;2.268022e-06;1.7862383e-06
easily;1.5278374e-05;0.00026197833;0.00016686817;0.00030438567;0.00037183377;0.0006634678;5.802042e-05;0.00028501602;0.0001732448;3.703248e-05;0.00013765553;0.00069775304;1.21579515e-05
honesty;2.8527497e-06;5.876781e-06;2.1045594e-06;2.8877294e-06;1.5330904e-06;1.7197035e-05;6.2388746e-05;2.1623994e-06;2.7283415e-05;2.9873963e-06;2.3069874e-06;2.1448486e-05;4.713145e-06
nurse;2.3215773e-06;3.3311046e-06;1.7994917e-06;7.2468297e-06;1.3627022e-06;5.601177e-06;1.8070283e-06;2.8879917e-06;3.9415168e-06;0.00011488149;2.9824955e-06;1.9488964e-06;6.474246e-05
alarm;3.7505308e-06;5.7630036e-06;6.706e-06;0.0007644873;1.6824728e-05;4.5451466e-06;4.426483e-06;2.882593e-06;4.1722287e-06;3.8690137e-06;5.993085e-06;2.8399065e-06;1.3326118e-05
brunel;0.0003242797;1.4377491e-06;3.9120187e-06;1.8184418e-06;2.7639428e-06;3.0882302e-06;1.4132557e-05;2.077993e-06;1.3301611e-06;1.8699909e-06;2.2498913e-05;1.0432214e-05;9.961008e-07
bark;2.2683191e-06;3.5731878e-06;1.5646949e-06;4.437359e-06;1.6257466e-06;7.4389594e-05;2.342649e-06;6.2350405e-06;4.9953333e-06;7.880915e-05;4.9026103e-06;2.0974412e-06;5.3850804e-06
gaia;2.1253643e-06;8.960409e-07;2.0607874e-06;0.000118576914;1.2808522e-06;1.0750489e-06;1.0224978e-06;1.6745573e-06;1.2386729e-06;1.6513994e-06;2.268805e-06;1.266112e-06;1.0979431e-06
mcdowell;2.5999701e-05;8.4814656e-07;1.991096e-06;1.7942336e-06;1.5208872e-06;2.4449887e-06;6.2476836e-05;2.0645628e-06;1.6681349e-06;2.2590539e-06;2.1700393e-05;1.5565722e-06;1.2246292e-06
kilroy;2.2421384e-06;4.4596086e-07;1.3332434e-06;1.6665649e-06;2.170847e-06;3.7356047e-06;6.437127e-05;1.5563613e-06;1.4848999e-06;2.4411688e-06;4.5307952e-05;1.5767225e-06;1.2558603e-06
conductor;3.4140635e-06;3.175726e-06;3.4974396e-06;0.00048055252;2.1284811e-06;1.6267749e-06;2.3097812e-06;3.3158387e-06;1.6820618e-06;3.2938544e-06;4.8682472e-05;1.3087068e-06;3.2472617e-05
cheese;5.1762254e-06;4.748997e-05;3.8368366e-06;3.4500722e-06;1.6040576e-06;2.220162e-05;2.4021795e-06;4.5089448e-05;5.8927258e-06;2.903917e-05;3.5724472e-06;2.5522317e-05;6.654991e-05
necessaryto;2.7730684e-06;1.5592308e-06;6.565816e-06;2.1544956e-06;1.4667884e-06;3.9151023e-06;1.0291018e-05;3.1619925e-06;1.3069932e-05;2.0766415e-06;2.5989314e-06;4.250593e-06;1.6583174e-06
theyhave;5.778888e-06;3.6313613e-05;3.279344e-05;2.0317773e-05;2.6134167e-06;8.03133e-05;2.291332e-05;1.0555214e-05;2.8397915e-05;4.4857466e-06;7.2168996e-06;3.2490378e-05;1.8649438e-05
intrinsic;3.240732e-06;1.9756318e-07;4.0849613e-06;1.759671e-06;0.00024157089;2.8549753e-06;7.994397e-06;1.4356289e-06;1.3864106e-06;2.5973668e-06;3.6043036e-06;1.7696537e-06;9.684713e-07
coordination;3.0399701e-06;3.5561882e-07;1.925228e-06;2.0252976e-06;1.9174882e-05;1.7706145e-06;1.3959118e-06;1.92177e-05;9.856782e-06;9.747964e-06;3.8609043e-05;7.742891e-06;2.198104e-06
documentary;2.1594929e-06;5.6483117e-07;1.0516793e-06;1.5837545e-06;1.1357844e-06;1.6576851e-06;2.5984455e-06;2.1468466e-06;0.00017957747;2.1184267e-05;1.8970266e-06;1.8952453e-06;2.4530837e-06
exploration;4.0169534e-06;4.9609815e-07;2.7363947e-06;2.9508694e-06;3.3511475e-05;3.6206602e-05;1.9167394e-06;1.7736579e-06;1.5543034e-06;8.436261e-06;0.00087986735;3.233827e-06;1.5646316e-06
thatmatter;2.991524e-06;9.2103204e-07;3.984897e-06;8.455911e-06;1.8241772e-06;1.4226392e-06;1.1583214e-06;2.5863399e-05;1.4448487e-06;1.7995878e-06;7.0605797e-06;7.5978382e-06;1.4555277e-06
yesterday;5.535867e-06;1.2109728e-05;4.1813328e-06;1.2834763e-05;2.217445e-06;4.206629e-06;3.0770323e-06;0.00036220235;0.00017859365;7.8485245e-05;9.418579e-05;3.3099313e-06;0.0014532552
democratic;1.1868724e-06;2.036269e-06;1.0120644e-06;1.933806e-06;1.4017618e-06;4.790794e-06;2.5940187e-06;2.508128e-06;0.00032403597;8.306166e-05;2.3216116e-06;2.710646e-06;0.00011258549
kingdom;5.0074814e-06;1.5301767e-06;3.523731e-06;3.6158035e-06;5.223911e-05;5.694273e-05;0.00061977963;2.603354e-06;5.5744993e-05;5.3779266e-05;1.2083791e-05;1.0317138e-05;3.6969034e-06
monosodium;1.5096336e-06;1.5352064e-06;9.826465e-07;1.1516227e-06;9.961559e-07;6.069696e-05;1.4335685e-06;1.1344385e-06;1.2767952e-06;2.0588093e-06;1.8444075e-06;1.2920359e-06;8.06951e-07
highway;4.512292e-06;4.1657436e-06;3.2310236e-05;0.00073369255;1.3983151e-05;2.2082188e-06;3.950196e-06;5.0956323e-06;7.023579e-06;6.13283e-05;4.9622977e-06;6.4085375e-06;7.313529e-05
accomplishment;2.3651412e-06;2.625776e-06;1.5010215e-06;1.9334593e-06;1.2174141e-06;4.783359e-06;1.5247601e-06;4.8500904e-05;1.8732715e-06;5.8290525e-06;4.612477e-06;2.3862285e-06;2.8406463e-05
tendency;3.5390813e-06;1.2757951e-05;7.824236e-06;7.903804e-06;1.8188649e-06;6.787495e-05;6.758183e-05;7.1785553e-06;1.1040335e-05;2.9407333e-06;2.8109457e-06;4.6199766e-06;2.9726054e-06
suspicious;5.523374e-06;1.9332365e-05;2.7045624e-05;2.2939135e-05;4.13007e-06;1.1315216e-05;2.1967417e-05;2.8084855e-06;9.381224e-06;3.876648e-06;2.8238508e-06;5.0719475e-05;3.0672236e-05
affiliate;1.2585602e-05;1.4431491e-06;2.891513e-06;2.2352694e-06;2.6741729e-05;2.5117097e-06;3.929441e-06;5.8624788e-05;1.8990793e-05;4.2385447e-05;3.2627418e-06;7.3554265e-06;1.555398e-05
philly;3.598247e-06;1.0702302e-06;6.480271e-06;1.0045292e-05;1.4230937e-06;9.682728e-07;9.833922e-07;0.00030534284;1.3918715e-06;3.1962666e-06;2.2973404e-06;1.211691e-06;1.3346386e-06
belly;1.7504875e-06;5.0649925e-07;1.2553435e-06;4.408003e-06;1.2580059e-06;1.6353891e-06;1.428177e-06;1.8905048e-06;1.6540204e-06;3.9865965e-05;2.0815209e-05;1.5611243e-06;2.1864525e-05
conditt;1.9264162e-06;5.120413e-07;1.1470249e-06;1.2836869e-06;1.0328189e-06;1.8995685e-06;6.526713e-05;1.5596836e-06;1.7020193e-06;2.2048443e-06;1.7399711e-06;1.2506467e-06;1.1963531e-06
anti;6.92532e-06;2.685056e-05;5.9749977e-06;2.8084449e-05;2.6562777e-05;0.00019122993;0.0001784396;7.854592e-06;0.0015390534;0.00088144426;0.00029493557;7.2686835e-06;0.00031002378
socialist;1.3581591e-06;2.0113027e-06;1.0302232e-06;1.987214e-06;1.3552578e-06;5.325209e-06;2.9087614e-06;2.7926583e-06;0.00035493163;0.00016283317;2.3595485e-06;2.6124746e-06;5.407359e-05
catholic;4.167636e-06;8.452211e-07;1.04274e-06;2.1264302e-06;1.394906e-06;5.6818694e-06;0.0017731998;2.602577e-06;4.978626e-06;5.593871e-06;2.589446e-06;1.7717376e-06;2.1746532e-06
thefederal;2.3021753e-06;8.4477716e-07;1.2687246e-06;1.5616442e-06;1.1556085e-06;1.4444582e-06;1.4063987e-06;2.084062e-06;9.705105e-05;2.2843471e-06;1.8444426e-06;8.153977e-06;3.362562e-06
make;0.0003808865;0.0150504215;0.0031307184;0.0040822923;0.002679068;0.008778923;0.0043952377;0.0040510497;0.003583534;0.0009909872;0.0024004565;0.004135456;0.0064455927
problem;0.000118381024;0.005988814;0.01130422;0.0034388562;0.0035480342;0.0036858392;0.00057976093;0.00018647575;0.0005080544;0.0010962487;0.0010244369;0.00046130054;0.00087935827
zariski;1.0469469e-05;8.8292006e-07;2.2061843e-06;1.9819126e-06;3.7041627e-06;1.58828e-06;1.2120943e-06;7.374028e-05;2.2597799e-06;2.077107e-06;2.5410743e-06;5.4972228e-05;1.5987598e-06
proverbial;1.8437753e-06;8.6700294e-07;1.3105747e-06;5.4034203e-06;1.17214e-06;2.3760645e-06;3.1688804e-05;1.6326991e-06;1.23452055e-05;2.259181e-06;2.0301818e-06;1.8905718e-06;1.4896737e-06
levy;3.2489074e-06;2.5291212e-07;1.6195572e-06;4.5282213e-06;2.0959417e-06;2.2333686e-06;1.3485444e-06;1.6514914e-05;3.8246894e-06;3.9215312e-05;0.00027166645;2.2634465e-05;2.5049305e-06
resolution;1.4377719e-05;3.6660015e-06;0.0009770888;5.826252e-06;0.00038556947;3.183613e-06;2.830416e-06;3.864471e-06;0.00013591467;1.0769663e-05;0.00029412226;3.32876e-06;0.00034705256
kaan;2.7702508e-06;5.187989e-07;1.2077287e-06;1.4630024e-06;1.2026723e-06;3.2482467e-06;2.249608e-05;1.793194e-05;2.240309e-06;0.00010848863;2.4442097e-06;1.4014582e-06;2.2115105e-06
ofmy;2.4079573e-05;1.5919045e-06;3.660765e-06;2.6625207e-06;3.0411377e-06;2.576868e-06;1.1098311e-05;2.8054486e-05;2.985354e-06;1.2787785e-05;3.031937e-06;1.1632645e-05;4.1676262e-06
gradually;2.548655e-06;1.073451e-06;2.6673301e-06;4.9658804e-05;1.649591e-05;2.0243938e-06;1.5389746e-06;2.4923056e-06;2.457508e-06;4.8474367e-06;0.00011060163;6.691345e-06;4.840845e-05
adresse;2.8880748e-05;2.3604878e-06;6.271276e-05;2.9902099e-06;2.405169e-06;3.250084e-06;3.147529e-06;2.2054571e-06;1.5973394e-05;3.0533765e-06;2.5199126e-06;2.1411954e-06;1.5232503e-06
poke;8.038317e-06;2.2516285e-06;4.4255423e-05;2.232205e-05;1.6145346e-05;5.8858604e-06;1.1289125e-05;2.1783267e-06;1.5325428e-06;2.1353562e-06;2.9246276e-06;6.7478236e-06;1.5214267e-06
elephant;2.6488299e-06;2.6433863e-06;2.4042824e-06;2.0773221e-05;2.5892539e-06;4.327391e-05;4.2393244e-06;1.818124e-06;1.8842566e-06;2.3837258e-06;1.10012315e-05;9.4926345e-06;1.5099383e-06
refuse;1.00427615e-05;5.7140973e-05;0.00013848885;5.6529676e-05;3.6085003e-05;0.00023567097;0.00027806862;0.00012635486;0.00041411605;0.00021275914;8.731055e-06;8.759094e-05;7.679117e-05
sunnyvale;3.7733284e-05;4.928519e-07;4.2644997e-06;2.3349432e-06;7.2006005e-05;2.0331408e-06;1.3949457e-06;4.253668e-06;1.5345289e-06;2.2348868e-06;1.4769662e-05;0.00013369352;1.26678e-06
generally;1.4705643e-05;8.138015e-05;0.00018195165;0.00036302835;0.00018843834;0.00043280848;0.00018360867;8.778967e-05;0.00016424665;0.00015926066;0.00015922032;0.0003216046;0.00027262248
lemur;2.9853143e-06;9.544984e-07;1.378261e-06;1.8896149e-06;1.3555034e-06;6.7719934e-06;3.0158328e-05;2.2264949e-06;1.6226213e-06;2.3072596e-06;1.7745591e-05;1.5985904e-06;1.3341587e-06
burner;2.7860176e-06;7.631751e-07;1.9001908e-06;2.537941e-05;1.7077712e-06;2.8821346e-06;3.5773548e-06;1.9487884e-06;2.8287443e-06;8.986607e-06;1.8632885e-05;4.3907444e-06;1.9563583e-06
naive;1.1099571e-05;2.8859144e-05;4.877318e-06;5.0727094e-06;2.0775715e-06;5.2856176e-05;4.6847643e-05;5.200795e-06;9.174122e-05;1.8393015e-05;3.6225401e-06;0.000102661936;6.1876062e-06
ilstu;5.594017e-06;6.19927e-07;0.00011754791;5.170373e-06;3.5818805e-06;8.3358645e-07;9.733509e-07;1.5472701e-06;9.672866e-07;1.4649758e-06;1.6317264e-06;1.2101758e-06;7.7924386e-07
hostage;1.6555038e-06;1.5849666e-06;1.0331729e-06;1.7024099e-06;1.4360674e-06;3.892088e-06;1.7852128e-06;2.2580184e-06;0.00022193925;4.7013273e-06;2.180322e-06;5.3998832e-05;2.8589422e-05
magazine;0.00088711927;8.843464e-06;0.0004912739;0.0005348705;0.00015521476;8.240093e-06;1.8016706e-05;5.050484e-06;0.00014253933;0.00030363517;0.00032945833;7.9836274e-05;2.0055102e-05
estate;4.994595e-05;3.1839443e-06;4.6066084e-06;2.1599424e-05;2.766191e-05;3.731848e-06;1.7392927e-05;3.9072625e-06;4.065777e-05;6.0552265e-05;4.116413e-06;3.0981948e-06;8.48553e-06
humour;0.00016017273;1.947788e-06;2.7639915e-06;1.9727406e-06;1.4455937e-06;1.5454285e-06;1.6541394e-06;1.0618766e-05;4.251459e-06;2.0310042e-06;3.3161523e-06;1.7284407e-06;1.6303889e-06
appearance;5.277411e-06;2.6234331e-06;5.496565e-06;1.3494196e-05;3.785918e-05;1.6084596e-05;5.9394275e-05;0.0001471549;3.4146074e-06;2.979136e-05;0.0002984822;4.0873088e-06;3.332054e-05
team;1.3009716e-05;1.5015696e-06;4.664879e-06;9.586226e-06;3.76998e-06;4.3596365e-06;2.542034e-06;0.008941443;1.000049e-05;4.6783625e-05;0.0006200856;9.866854e-06;9.661393e-06
thereby;4.7974268e-06;1.4632984e-06;2.121786e-05;9.514669e-06;1.8120434e-05;1.6807007e-05;7.618459e-05;4.3360756e-06;1.2979052e-05;6.463027e-05;1.1432317e-05;4.2934524e-05;2.8495592e-06
formal;3.7898367e-06;4.0689297e-06;1.689433e-06;4.2610836e-06;4.1897993e-06;7.7318684e-05;6.372394e-05;5.974236e-06;1.2053332e-05;5.5622244e-05;3.995211e-05;4.0575498e-05;5.710748e-05
dominant;2.996541e-06;4.0150107e-06;3.9210167e-06;2.5464165e-06;2.631097e-06;3.0115305e-05;2.4456974e-06;7.726511e-05;1.4790236e-05;3.794408e-06;1.782242e-05;2.1646424e-06;7.096227e-06
qualifie;1.9060822e-06;4.292698e-06;1.2471528e-06;1.6675936e-06;1.36811e-06;4.3186326e-05;7.1376617e-06;3.4907014e-05;6.695155e-06;3.2637083e-06;2.6203493e-06;7.1988834e-06;1.640756e-05
bowman;2.9063087e-06;7.630892e-07;2.5410466e-06;0.00012452996;1.5548662e-06;1.3015166e-06;1.101116e-06;2.158744e-06;1.3905394e-06;1.0503568e-05;2.6329744e-06;1.5082629e-06;1.474765e-06
ucar;1.1864724e-05;9.0735915e-07;6.118336e-06;1.3926776e-05;8.22727e-05;1.8056212e-06;1.2878999e-06;0.00015135061;1.7561092e-06;2.386132e-06;3.4235545e-05;5.7241227e-06;1.8261927e-06
serbia;1.5637474e-06;7.93407e-07;1.0327749e-06;1.7101457e-06;1.2974456e-06;1.7309382e-06;1.8454139e-06;2.3079554e-06;9.3710885e-05;0.00025078922;2.199643e-06;1.7598068e-06;7.881479e-05
start;9.1997346e-05;0.0030845639;0.00047975237;0.0012595805;0.0021498725;0.0007465216;0.00037740302;0.002640575;0.00174492;0.0003010745;0.00081356463;0.00046127063;0.0041031917
intensity;3.5103146e-06;5.8222537e-07;5.327987e-06;7.0634806e-06;9.456052e-05;2.5455472e-06;2.5330705e-06;2.5427514e-06;4.5469324e-06;2.4028499e-05;4.8206795e-05;2.5240133e-06;2.2673117e-05
writer;1.858821e-05;2.955338e-06;5.5383785e-05;3.391478e-05;0.00010246979;1.0774893e-05;0.00026465865;0.00014397736;0.000112600515;8.488557e-05;0.00010932465;1.5851847e-05;6.2684267e-06
wallet;7.759675e-06;9.266412e-06;1.7472512e-05;2.9600411e-05;3.7324528e-06;3.9322003e-06;4.425234e-06;1.1361731e-05;4.2856595e-06;1.5118762e-05;3.4373913e-06;2.58026e-05;0.00012517672
pedal;2.761088e-06;1.1402431e-06;4.215058e-06;0.0004098092;1.788485e-06;9.523697e-07;1.1730209e-06;1.929193e-06;1.3760033e-06;1.66257e-06;2.3680313e-06;1.5695242e-06;1.2841704e-06
afew;5.8175065e-06;3.1905738e-06;1.0964432e-05;1.2268263e-05;6.305195e-06;1.1762058e-05;2.4445724e-05;2.7669462e-06;4.6342298e-06;6.281212e-05;6.258896e-05;7.017721e-06;4.5682064e-06
sighted;5.5952173e-06;4.6427795e-06;1.6186037e-05;3.748107e-06;1.650144e-06;8.903863e-06;1.6294342e-06;4.4246044e-05;2.681488e-06;3.2774682e-05;3.9753163e-06;2.6189055e-06;3.1927798e-06
crawford;5.6038684e-06;3.7038828e-07;2.9979276e-06;6.468796e-06;1.3837353e-05;1.4780106e-06;1.1805389e-06;2.3874027e-06;1.3677336e-06;2.2888305e-06;2.8314218e-05;2.4428653e-05;1.3317637e-06
museum;0.0002465633;3.0453086e-06;4.4005847e-06;4.5133947e-06;1.25179295e-05;3.2881035e-06;1.4439988e-05;1.870571e-05;9.4141964e-05;0.000109710636;0.00016044546;6.5472136e-06;0.00010621261
