;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
swinge;6.713425e-07;6.989313e-05;9.0713047e-07;1.779556e-05;1.3877611e-06;9.995391e-07;9.3905714e-07;1.051106e-06;8.2157135e-07;1.2185343e-05;9.035115e-07;7.819599e-07;6.6785316e-07;1.1639609e-06;6.913541e-07
greatly;2.566426e-06;2.9194102e-06;6.374452e-05;1.2471827e-05;0.00032417302;4.5464978e-05;0.00031822748;0.0026564505;2.3602839e-05;4.568645e-06;2.8423299e-06;4.4996905e-06;0.00012737521;9.432752e-05;4.1375797e-06
adjustment;1.1334487e-06;8.571893e-05;1.2419932e-05;6.398538e-06;6.285385e-05;8.320494e-06;3.6910475e-05;2.9381965e-06;1.1576748e-06;1.6956479e-06;1.93731e-06;2.0876649e-05;4.082618e-05;3.057802e-05;8.078422e-05
opponent;5.6921952e-05;0.00016731606;4.7610287e-05;0.00010453692;2.5678787e-06;1.516084e-06;1.1331362e-06;1.884726e-06;3.7854166e-05;1.7915778e-06;0.00025651584;1.8287912e-05;1.2111518e-06;1.7410813e-06;1.2928968e-05
withhis;1.2282368e-06;1.5336193e-06;8.5540756e-07;9.011594e-07;9.596683e-07;7.411231e-07;1.0497372e-06;1.5179522e-06;3.575531e-05;2.1410013e-05;7.79091e-07;5.9378357e-07;5.561284e-07;1.2152585e-06;8.547911e-07
renounce;0.00012962909;7.073751e-07;1.2483682e-06;2.242405e-05;1.1340562e-06;9.0432e-07;7.4813346e-07;1.3752073e-06;1.794216e-05;7.6248944e-07;1.2409394e-06;1.020118e-06;7.841501e-07;8.6191415e-07;8.6774463e-07
standardized;6.627654e-07;7.4666184e-07;8.4257067e-07;9.762831e-07;4.877271e-06;1.0003755e-06;5.742299e-06;1.6658269e-06;7.722698e-07;8.0393585e-07;1.755918e-06;2.166649e-06;3.5842066e-05;1.3466099e-06;4.7086448e-07
brush;5.649838e-05;1.3924852e-06;1.856866e-06;4.5199436e-06;5.9002687e-05;1.3110732e-06;2.011155e-06;4.3756754e-06;3.6597482e-06;4.222227e-05;1.549703e-06;1.510489e-06;5.269633e-05;1.8135848e-06;2.7751043e-06
gregory;1.5932337e-06;1.8555422e-05;1.1258563e-06;1.5604085e-06;2.8728273e-06;0.00015256974;0.00014648457;0.0008870124;4.460885e-05;2.1310807e-06;1.5671244e-06;2.180714e-06;1.1638195e-05;2.8461689e-06;1.3491117e-06
steam;2.8080667e-06;6.1115343e-06;1.0008246e-06;1.2001069e-06;3.517266e-05;0.00040903504;1.2351634e-06;1.5482323e-06;9.397675e-07;9.147596e-07;1.0318662e-06;1.0004987e-06;8.8897036e-07;1.3388667e-05;1.1521322e-06
badly;1.7788374e-06;9.341137e-05;4.180366e-05;3.6834426e-05;2.7065294e-06;4.5431778e-05;4.1781927e-06;2.1728633e-06;1.1080405e-05;0.00035704445;8.4320935e-05;1.897422e-06;1.4148138e-05;6.3342486e-05;7.204395e-05
david;0.0005353673;0.0024255053;0.002102343;0.00068220583;0.0019565756;0.0006839574;0.0008603007;0.006217651;0.001189381;0.0012132734;0.0032658533;0.00078243704;0.00048080002;0.00062583777;2.9655874e-05
lourde;1.0727491e-06;7.5312187e-07;9.256044e-07;9.597229e-07;1.803584e-05;7.2294705e-07;7.66673e-07;1.1216721e-06;0.00011281616;1.0092803e-06;8.454582e-07;7.299979e-07;5.7623464e-07;1.0675943e-06;7.299634e-07
connecticut;7.3098437e-07;9.667787e-07;1.3431858e-06;2.5730333e-05;1.2334978e-06;2.2114625e-06;7.813806e-07;1.2067308e-06;8.44021e-07;6.665835e-07;2.0778277e-06;0.00010679679;8.266367e-07;2.018772e-05;5.7728727e-07
energia;5.892138e-07;6.309298e-07;6.6578303e-07;8.6592604e-07;8.581165e-07;0.00016250572;7.917026e-07;1.0359742e-06;6.8524116e-07;5.834374e-07;6.968073e-07;7.4687824e-07;6.981488e-07;1.2631521e-06;3.2801523e-07
middle;0.00020912089;0.00032724856;0.00013043334;0.0008386955;1.9142868e-05;0.00018500481;0.000121458375;1.9056162e-05;0.00015688769;0.00023299025;6.5836575e-05;9.4217816e-05;3.2367858e-05;0.00015500525;0.00021732392
asic;6.05708e-07;6.824268e-07;8.545115e-07;7.622366e-07;9.721953e-07;7.069183e-07;3.5245554e-05;1.0940524e-06;6.8349334e-07;1.0978151e-06;7.6644275e-05;7.365314e-07;8.478118e-07;1.3948177e-06;4.921594e-07
tokyo;6.79993e-07;2.5108682e-06;9.905533e-07;1.1501605e-06;1.3265479e-06;3.5081086e-06;2.352236e-06;0.00011433448;8.4055483e-07;7.071917e-07;1.3663736e-06;0.00016671745;6.193172e-05;1.4921286e-06;5.4327353e-07
testimony;0.00012718634;1.7789141e-06;6.742067e-05;4.0033792e-05;3.018894e-06;1.3860919e-06;1.2453353e-06;1.050095e-06;0.00022263543;0.00020226295;1.4764064e-06;1.0271741e-05;8.92345e-07;1.2896116e-06;2.3788257e-06
matter;0.0022928491;0.00035713497;0.0008826269;0.00042380035;0.00042610723;0.00059405423;9.972598e-05;5.227592e-06;0.0010073733;0.00045633593;0.00052719435;1.694882e-05;4.503107e-05;0.0003501938;0.0008718786
telecommunication;6.8782094e-07;7.7823654e-07;9.710654e-07;1.3793571e-06;1.0834478e-06;8.4582716e-05;1.5682381e-06;2.2407282e-06;8.164001e-07;7.000654e-07;0.00030570605;2.4675925e-05;4.2422134e-06;1.4726058e-06;6.003834e-07
idle;3.5426223e-05;0.00038313767;1.4396846e-06;1.7678187e-06;2.2183383e-06;3.0259355e-06;7.795384e-05;2.5505083e-06;7.201999e-05;4.21011e-06;6.581783e-05;1.2372444e-06;0.000106862484;0.00036743208;2.323574e-06
diving;8.28961e-07;1.6035907e-05;1.2268372e-06;1.2752036e-05;1.5833108e-06;6.2024876e-05;9.303881e-07;2.0404786e-06;9.73626e-07;9.023658e-07;1.0530078e-06;1.7311486e-06;2.2014926e-06;1.6112477e-06;4.987334e-06
timmon;0.00032169803;5.8479316e-07;7.5401243e-07;6.436489e-07;9.1947254e-07;5.9699613e-07;5.811015e-07;9.792732e-07;1.7630626e-06;5.0969373e-07;7.8030456e-07;5.241481e-07;5.904338e-07;9.0072774e-07;5.798784e-07
province;7.052773e-07;1.1823741e-06;2.8638551e-05;0.00034829427;6.446928e-06;1.2801968e-06;2.1570588e-05;1.4213218e-06;8.977618e-07;1.9190181e-06;1.6468382e-06;0.0002792595;1.1385588e-06;1.247241e-06;1.1506377e-06
oscar;8.25493e-07;0.0001264373;4.633085e-06;1.0638028e-06;1.6072615e-06;1.4629128e-05;9.169055e-06;2.7929268e-06;1.6092814e-06;1.4985619e-06;1.0764003e-06;8.0691433e-07;1.0584254e-06;1.8971871e-06;9.991757e-07
lehigh;8.339191e-07;6.18967e-05;4.8708616e-06;1.581694e-06;0.00011216418;3.2365094e-06;6.627723e-05;0.00028071034;9.00815e-07;2.2771917e-06;1.2825932e-06;3.5803823e-05;1.2104879e-06;0.0005482747;1.8317585e-06
impress;2.8587348e-05;2.769537e-05;1.4712488e-06;4.5579973e-06;2.809915e-05;1.5062711e-06;6.2465835e-05;4.3302007e-05;2.0812306e-06;1.1076739e-05;1.7230562e-06;1.8038508e-06;5.8593764e-06;1.1591772e-05;1.3259556e-05
champ;5.629615e-07;0.00025341258;6.289678e-07;7.349306e-07;1.1445705e-06;7.339915e-07;2.4165895e-06;1.7382674e-06;6.592672e-07;7.4695186e-07;7.9162106e-07;6.1821265e-07;6.769389e-07;1.2103902e-06;4.4839453e-07
theserial;7.0645405e-07;7.219324e-07;9.424203e-07;8.310163e-07;1.0841693e-06;6.68449e-07;8.301281e-06;1.1704672e-06;7.6148547e-07;8.409466e-07;0.000116540454;8.0349565e-07;8.1089786e-07;1.190078e-06;5.820947e-07
sheffield;6.3867253e-07;0.00017376403;7.193547e-07;1.1225746e-06;1.1182176e-06;8.8016424e-07;1.0161233e-06;1.414508e-06;7.241552e-07;6.199504e-07;9.722695e-07;6.6564945e-07;2.9544999e-05;1.3391297e-06;4.925045e-07
sarto;1.0520394e-06;5.140784e-07;6.7217246e-07;7.542513e-07;7.7160286e-07;6.373381e-07;6.3752594e-07;9.66879e-07;9.526433e-05;5.782564e-07;7.1962535e-07;5.531616e-07;5.458636e-07;8.430736e-07;4.4247463e-07
treasury;1.1950832e-06;7.783932e-07;0.000100740246;1.2077248e-06;1.8236314e-06;1.0951794e-06;1.0430123e-06;1.4007777e-06;2.1748756e-05;2.0605169e-06;1.5099762e-05;8.423719e-05;8.3796965e-07;1.3385761e-05;3.076463e-06
crony;8.414332e-07;8.490339e-07;2.2457465e-05;4.2419353e-05;1.3544959e-06;1.4538424e-06;1.1722285e-06;1.4045928e-06;9.50633e-07;7.602665e-06;1.1436257e-06;4.211833e-06;1.3576009e-06;6.470916e-06;1.2206483e-06
velocity;1.4223779e-06;1.0775777e-06;1.015289e-06;1.3527269e-06;1.8399511e-06;0.0005287726;1.6055588e-05;2.9796745e-06;9.699273e-07;4.475096e-06;1.2137003e-06;9.759614e-07;1.5907664e-06;2.5503623e-06;6.615867e-07
easily;0.00046968187;0.00026028263;0.00023106241;0.00011548076;0.00023696924;0.0001810465;0.00028274427;4.0990144e-06;4.4516564e-05;6.881887e-05;0.0007081809;4.0104023e-06;0.0003875947;0.00025984153;0.00010275171
honesty;4.1460324e-05;7.995218e-07;5.1254146e-06;1.9723286e-05;1.476274e-06;9.299455e-07;9.397838e-07;1.2308154e-06;4.7088797e-05;1.0605488e-06;9.968609e-06;1.627927e-06;7.6585303e-07;1.9964964e-06;1.4380277e-05
nurse;9.1839297e-07;1.2206923e-06;2.8720344e-06;2.5435136e-06;0.000117200216;7.9602404e-07;1.2379111e-06;1.8774999e-06;1.0619591e-06;5.7606e-05;1.1887074e-06;1.1332742e-05;5.9182514e-07;1.9945003e-06;6.563259e-05
alarm;2.6993355e-06;1.173109e-06;7.455304e-06;1.6906829e-06;2.5383201e-06;4.3314444e-06;2.4270012e-06;2.8061613e-06;4.1901076e-06;2.189436e-06;1.4731953e-06;1.1869643e-05;1.6293316e-05;0.00094879174;6.809704e-06
brunel;1.4939851e-06;8.780225e-07;7.6682113e-07;8.355109e-07;1.1946319e-06;1.0140797e-05;1.5763095e-06;0.0006090745;3.0961546e-05;7.972248e-07;2.120408e-06;1.2278667e-06;1.228192e-06;1.338555e-06;7.5780355e-07
bark;1.1076032e-06;5.5297583e-06;1.3092485e-06;5.3733154e-05;0.000124885;3.2427843e-06;1.0896183e-06;1.2553593e-06;1.1108093e-06;4.2592397e-05;1.2607026e-06;1.2740037e-06;7.490787e-07;6.1541746e-06;2.849763e-06
gaia;6.0352033e-07;6.7269104e-07;7.7515386e-07;4.8453757e-07;1.8489891e-06;1.1857024e-06;8.1196805e-07;8.3761114e-07;6.6449996e-07;5.921241e-07;7.0080256e-07;6.292417e-07;5.752562e-07;0.00013615761;4.7105263e-07
mcdowell;9.548706e-05;7.1222587e-07;6.849607e-07;9.436939e-07;1.0687054e-06;1.8689583e-05;7.6239667e-07;2.808946e-05;1.7024133e-05;7.1630006e-07;6.679667e-07;8.6485846e-07;6.9667766e-07;1.1466796e-06;7.0443406e-07
kilroy;0.00019464012;7.04002e-07;9.211082e-07;1.0108863e-06;1.1076845e-06;3.1689524e-05;7.839123e-07;1.2457419e-06;4.5989523e-06;6.302551e-07;8.930474e-07;7.6864245e-07;1.049691e-06;1.4935209e-06;6.804358e-07
conductor;8.3793464e-07;1.4987946e-06;7.848808e-07;9.581665e-07;1.5747801e-06;3.798109e-05;0.0009337451;3.5775777e-06;1.0183079e-06;6.282056e-05;2.4711221e-06;1.1079687e-06;2.071123e-06;2.9113833e-06;7.784327e-07
cheese;7.113219e-06;2.3392688e-05;1.4875093e-05;1.5969358e-06;8.0213584e-05;1.1058372e-06;2.1850396e-06;1.374667e-06;1.2407204e-06;9.508332e-05;2.5313582e-05;1.0011812e-06;7.438571e-07;1.9265747e-06;1.8219793e-06
necessaryto;2.543905e-06;1.7046642e-06;3.9450446e-05;1.0223634e-06;1.4478998e-06;1.0867531e-06;6.1364435e-06;1.1288374e-06;1.4069116e-05;1.2306713e-06;4.013564e-06;7.843514e-07;8.133515e-07;1.6322008e-06;1.0783469e-06
theyhave;6.563252e-05;5.263942e-06;5.080184e-05;1.2281525e-05;9.602909e-06;4.48421e-06;1.8944987e-05;2.3146317e-06;1.2157826e-05;3.4252016e-06;3.4739955e-05;1.4529412e-05;1.1202734e-06;2.0001804e-05;1.1998076e-05
intrinsic;1.4290483e-06;8.3146386e-07;1.3133579e-06;2.454048e-06;1.3985467e-06;2.5448924e-06;1.6632118e-06;3.2898333e-06;1.7858383e-05;8.2460497e-07;1.8374103e-06;1.1910122e-06;0.00032564948;1.5723315e-06;8.256579e-07
coordination;7.314941e-07;1.8084847e-05;1.0713019e-06;1.4100639e-05;1.2534997e-06;2.902533e-06;1.0403836e-06;1.639011e-06;8.6520885e-07;7.560595e-07;1.4749006e-06;6.637357e-05;1.969646e-05;1.2050265e-06;5.6624464e-07
documentary;1.1837357e-06;6.423407e-07;3.93577e-05;5.3123047e-05;1.3212377e-06;1.1071817e-06;9.408078e-07;7.3904056e-07;9.744936e-07;0.00025493026;9.614913e-07;1.7177405e-06;7.6514783e-07;1.0493702e-06;6.903527e-07
exploration;4.323917e-05;8.268562e-07;1.0182513e-06;3.207646e-06;1.3720746e-06;0.0008710777;1.3222599e-06;2.2421239e-06;1.4181611e-06;7.109149e-07;1.5587773e-06;2.5979107e-05;4.0959127e-05;1.6644343e-06;4.944071e-07
thatmatter;7.5044454e-07;2.3947143e-05;8.8170975e-07;8.265467e-07;1.3933295e-06;4.7404224e-06;3.016928e-06;1.4305214e-06;8.178074e-07;8.252736e-07;8.556821e-06;1.3281115e-06;1.070767e-06;7.369067e-06;9.2648753e-07
yesterday;1.4645258e-06;0.0004489807;5.7645546e-05;0.0002175259;7.5238145e-06;6.9918366e-05;1.0197755e-05;7.8765315e-06;1.4650661e-06;0.0004224567;3.690803e-06;0.00018520058;1.903337e-06;1.034332e-05;0.0007292979
democratic;1.1847193e-06;8.9865733e-07;0.0004073996;0.00014471526;2.0352754e-06;1.1639361e-06;7.173121e-07;9.98922e-07;1.4977253e-06;1.3416212e-06;1.6152027e-06;0.0001706073;8.8250755e-07;1.0574684e-06;5.4114025e-06
kingdom;4.9151546e-05;9.908299e-07;2.3419736e-05;6.0218666e-05;2.5588263e-06;2.992668e-06;1.6086692e-06;2.7664867e-06;0.0007343206;1.2815814e-06;2.9264786e-06;0.000104769715;5.4784385e-05;1.6189506e-06;1.7378486e-06
monosodium;5.6328315e-07;9.076659e-07;6.974971e-07;6.0324624e-07;0.00011328262;6.351803e-07;7.5130947e-07;1.1731919e-06;6.330021e-07;5.052259e-07;7.412278e-07;6.5601233e-07;5.151029e-07;1.0605851e-06;5.674761e-07
highway;1.0301475e-06;1.2469853e-06;2.2094255e-06;2.2034812e-06;1.9940924e-06;2.3784842e-06;1.7722925e-05;2.6916111e-06;1.711053e-06;1.451787e-06;2.2312574e-06;0.00022489406;1.0581894e-05;0.00079174974;4.006033e-06
accomplishment;1.583524e-06;4.3877375e-05;1.1428904e-06;1.1939401e-06;6.4663645e-06;1.4665242e-06;8.101009e-07;1.7664834e-06;9.759073e-07;8.0583567e-07;2.1050269e-06;3.8042526e-05;7.1846364e-07;1.7224487e-06;2.1419695e-05
tendency;6.714988e-05;4.8584293e-06;1.8138396e-06;6.58094e-06;3.0187775e-05;1.0575326e-06;1.6331438e-05;1.9615495e-06;7.795927e-05;1.5228229e-06;4.811911e-06;1.0384896e-06;9.657867e-07;1.701153e-06;2.812225e-05
suspicious;1.6695323e-06;1.2446246e-06;5.904694e-06;1.4874449e-06;1.495588e-05;1.3928378e-06;2.3438533e-05;1.916114e-06;4.589788e-05;8.278798e-05;5.5028457e-05;1.9899496e-06;2.5767454e-06;4.3992575e-05;3.498492e-06
affiliate;1.1234725e-06;4.6236473e-05;8.09124e-06;3.347744e-05;2.150844e-06;1.4923772e-06;2.138172e-06;3.54601e-05;5.202456e-06;4.07363e-05;3.9367646e-06;7.95198e-05;2.0723755e-05;1.480394e-06;2.7471633e-06
philly;6.0696283e-07;0.00037542338;7.4283383e-07;6.930203e-07;6.710864e-06;9.2142477e-07;3.964252e-06;1.4277396e-06;6.7029004e-07;8.790691e-07;8.9606317e-07;6.7478305e-07;7.358818e-07;1.66781e-05;6.590533e-07
belly;8.329486e-07;9.344834e-07;1.2075473e-06;2.8007044e-05;4.6745195e-06;2.5898213e-05;1.1343612e-06;9.4703654e-07;1.0382734e-06;6.694797e-05;9.238119e-07;9.224994e-07;7.160736e-07;3.9367674e-06;8.8744537e-07
conditt;9.720815e-07;5.1101756e-07;6.7288886e-07;7.329973e-07;8.2078833e-07;6.306486e-07;6.417465e-07;9.200974e-07;5.8565132e-05;5.754705e-07;7.0616835e-07;5.6366144e-07;5.455992e-07;8.4367764e-07;4.887184e-07
anti;0.00027662262;4.335562e-06;0.0010615236;0.0015388905;0.0010697593;0.00022634733;6.4201254e-06;3.1982304e-06;0.00011475872;0.0003953841;3.5678454e-06;0.00080885517;1.0884178e-05;9.269526e-06;1.5441416e-05
socialist;9.580289e-07;8.5178726e-07;0.0006123487;6.983316e-05;3.419997e-06;1.0846553e-06;9.4417027e-07;6.3514176e-07;1.5376152e-06;7.748955e-05;1.427558e-06;2.8971685e-06;7.163858e-07;1.1398901e-06;1.9620345e-06
catholic;1.2082506e-05;8.889114e-07;1.374459e-06;1.4135956e-05;1.0204526e-06;1.4169701e-06;8.6633344e-07;1.4206809e-06;0.0024651375;1.7060647e-06;1.7844222e-06;1.2053206e-06;1.0307557e-06;1.4770587e-06;1.5944429e-06
thefederal;6.7404204e-07;6.376484e-07;0.00017503866;9.551912e-07;1.3075881e-06;7.240848e-07;8.4384715e-07;8.7546476e-07;7.772334e-07;1.0374326e-06;8.8389825e-06;9.895954e-07;6.712649e-07;1.0905138e-06;1.6196304e-06
make;0.0046636555;0.004355895;0.0050478512;0.0015664382;0.0031494792;0.0030570459;0.0031392474;6.3212836e-05;0.0035399534;0.0031634634;0.003926534;0.0017172551;0.002223415;0.004767846;0.018427534
problem;0.0015109467;0.00048179048;0.0015085106;0.00060042384;0.00416271;0.0016381955;0.008117824;1.4356164e-05;0.0008007024;7.741672e-05;0.00052057806;0.00036164513;0.003816957;0.0036143663;0.0046214513
zariski;6.632491e-07;5.565977e-05;1.2607959e-06;8.816442e-07;1.46917e-06;7.7432145e-07;1.1545359e-06;1.6915768e-05;7.477069e-07;6.038637e-07;3.6503254e-05;1.0372779e-06;3.123481e-06;1.1390392e-06;6.712666e-07
proverbial;3.6099696e-05;8.162011e-07;4.0475283e-05;1.2065022e-06;1.4882839e-06;8.8987713e-07;3.5417415e-06;1.0546182e-06;2.0545594e-05;1.2255192e-06;1.7124114e-06;7.731159e-07;8.043526e-07;1.4686899e-06;1.0397436e-06
levy;9.2135195e-07;1.2650997e-05;3.0852952e-06;3.9835846e-05;2.37118e-06;0.0002453839;1.3404657e-06;1.3618182e-06;1.0062504e-06;1.0194268e-06;2.992861e-05;1.4879521e-06;1.1635854e-06;5.796966e-06;9.683383e-07
resolution;1.3794235e-06;1.216968e-06;5.1502757e-06;0.00015328194;2.0151042e-06;0.00032719833;0.0010530255;6.874981e-06;1.5265066e-06;3.7699936e-06;2.8025927e-06;0.0005631218;0.00049477804;2.085173e-06;9.743289e-07
kaan;1.847549e-06;8.581233e-07;8.923328e-07;8.590457e-05;1.09019e-06;1.0391234e-06;8.5697883e-07;7.7620156e-05;2.283558e-05;9.671181e-07;1.107525e-06;1.10106e-06;9.392945e-07;7.180378e-07;1.0387326e-06
ofmy;1.1926967e-06;4.2212097e-05;1.7542772e-06;3.4419252e-06;3.2243144e-05;1.199876e-06;1.4141002e-06;1.0763011e-05;1.1125485e-05;1.0435401e-06;5.856156e-06;4.6144173e-06;1.4643776e-06;1.6648374e-06;1.2699624e-06
gradually;9.2494304e-07;1.1566037e-06;1.5840156e-06;2.0214882e-06;2.287607e-05;7.787493e-05;1.7940355e-06;1.5489072e-06;1.1190903e-06;6.570059e-05;6.6428406e-06;3.1683078e-06;1.3941981e-05;9.290563e-05;1.1132089e-06
adresse;1.5565255e-06;9.366382e-07;9.817571e-07;2.750177e-05;1.2449091e-06;1.151008e-06;5.6052893e-05;1.7612703e-05;4.504775e-06;1.5240055e-06;1.3599179e-06;2.5444365e-06;1.3139421e-06;1.1490824e-06;1.0932725e-06
poke;4.978056e-05;8.891089e-07;1.0664509e-06;8.647558e-07;1.2622052e-06;1.1572398e-06;7.0249815e-05;3.9606593e-06;1.3365213e-06;1.3142272e-06;2.8133793e-06;8.627133e-07;1.5960431e-05;2.369969e-06;7.3257655e-07
elephant;5.4584918e-05;9.2772245e-07;1.8878566e-06;1.059808e-06;1.6393168e-06;2.2958158e-05;4.6569435e-06;1.8697737e-06;8.8123925e-06;1.1775198e-06;7.798686e-06;1.2230237e-06;2.2178326e-06;1.5829195e-05;1.0522466e-06
refuse;9.5975774e-05;9.271273e-05;0.00036466305;0.0004458509;0.0001562715;5.69451e-06;0.00014103547;3.6780384e-06;0.0002898532;0.00019245918;0.0001270866;5.516976e-05;3.6142286e-05;0.00015867768;4.5903296e-05
sunnyvale;8.9442915e-07;3.0792596e-06;1.2160647e-06;1.2845416e-06;1.4587033e-06;1.9933272e-05;1.8285737e-06;2.0852816e-05;9.0671466e-07;6.454732e-07;0.00014564834;1.740465e-06;6.357619e-05;1.5817477e-06;8.93398e-07
generally;0.0003428969;0.00012886147;0.00023844765;0.0001663743;0.00031568826;0.00011108486;0.00030604005;8.510252e-06;0.00021260833;1.8711555e-05;0.00036394628;0.0002645195;0.00017199041;0.00020170958;0.0003885029
lemur;1.7789129e-05;8.2980114e-07;7.925348e-07;9.642192e-07;1.0771715e-06;2.6733895e-05;7.8891765e-07;1.3984686e-06;2.0166104e-05;6.646113e-07;8.34071e-07;6.957967e-07;6.9745147e-07;1.3727164e-06;5.907766e-07
burner;9.732798e-07;1.1022116e-06;1.0874245e-06;9.600187e-07;2.1741427e-05;2.3502998e-05;7.152216e-06;1.4299935e-06;3.7623913e-06;8.252186e-06;7.836582e-06;9.581285e-07;9.686839e-07;2.209977e-05;8.8746395e-07
naive;0.0001470788;1.9542226e-06;0.00013827869;5.234718e-05;1.646641e-05;1.4423332e-06;2.8748084e-06;1.962369e-06;2.2279275e-05;2.8943002e-06;8.415183e-05;3.1058198e-06;1.05891e-06;1.8059561e-06;1.3238778e-05
ilstu;5.836603e-07;8.3837205e-07;6.893487e-07;6.3596093e-07;1.0499955e-06;9.3111595e-07;0.00017106699;2.4822073e-06;6.939371e-07;1.3443429e-06;1.1122129e-06;6.7647375e-07;3.5779071e-06;4.4226376e-06;4.3298508e-07
hostage;2.9089738e-06;6.981352e-07;0.0004229988;6.34066e-06;1.8127092e-06;8.9451606e-07;1.1548783e-06;6.5990093e-07;1.0774827e-06;3.736892e-05;3.8998434e-05;1.2128801e-06;7.89754e-07;1.2047254e-06;1.1064213e-06
magazine;1.9159252e-06;2.7792485e-06;8.481666e-05;0.00024017102;2.9121657e-05;0.00026976288;0.0002642314;0.0012087142;1.8132003e-05;0.00018195213;8.190287e-06;0.00048443847;0.00010794617;0.0006893098;3.8178723e-06
estate;1.5893897e-06;1.4756313e-06;5.8975975e-06;8.973312e-05;3.2987216e-06;1.7768127e-06;1.9711276e-06;4.7975267e-05;2.468584e-05;6.774592e-06;1.8915049e-06;1.5617178e-06;3.6879774e-05;2.5725563e-05;3.5967172e-05
humour;8.325611e-07;1.0904785e-06;1.3329326e-06;2.0046668e-06;1.2820258e-06;3.9909264e-06;2.0866744e-06;0.00020121687;1.2014286e-06;5.4559564e-06;9.421142e-07;1.0178295e-06;9.561876e-07;1.3942431e-06;9.697856e-07
appearance;3.2549473e-05;0.0001351191;2.180813e-06;1.5696958e-05;3.0499185e-05;8.978566e-05;2.3681698e-06;3.2088653e-06;6.141461e-05;3.9522627e-05;3.1014242e-06;0.00027636133;3.4757762e-05;2.259887e-05;2.1632557e-06
team;1.6389387e-06;0.011743651;2.0749912e-06;8.797717e-06;3.6562024e-06;0.0003883667;2.0692967e-06;4.1722938e-06;1.3363391e-06;4.985008e-06;5.800537e-06;0.00027973528;3.329431e-06;4.810554e-06;1.2550903e-06
thereby;2.1371012e-05;2.1050798e-06;3.5437913e-06;0.0001113338;3.33445e-06;6.3286e-06;2.4731062e-05;1.9082195e-06;0.00012147291;1.7800463e-06;4.695546e-05;1.4261152e-05;2.5480787e-05;3.8330772e-06;1.82679e-06
