;0;1;2;3;4;5;6;7;8;9;10;11
problem;0.004662827;0.00040502133;0.00060164864;0.00049217296;0.008183026;0.001962119;7.862057e-05;0.0005847948;0.0043788515;0.0017159159;0.0021114647;9.923194e-05
zariski;1.5081409e-06;1.4370746e-06;3.642395e-05;1.6538063e-06;1.6226652e-06;1.136077e-06;4.9971008e-05;1.3341186e-06;3.382225e-06;2.0477564e-06;2.4668095e-06;7.901639e-06
proverbial;1.935066e-06;3.2868936e-06;1.5069537e-06;1.7636925e-06;2.1260382e-06;1.4470903e-06;1.2854666e-06;2.5433146e-05;1.0512365e-06;1.7223246e-06;1.5189798e-05;1.5665723e-06
levy;1.5738729e-06;2.200741e-06;1.9569925e-05;3.189139e-05;1.9332542e-06;2.0020666e-06;1.0655628e-05;1.602991e-06;1.9020734e-06;0.00014288373;6.0997113e-06;2.4932565e-06
resolution;2.8797172e-06;0.00040952858;4.6032615e-06;0.00028628838;0.00050658296;1.639318e-05;2.54931e-06;3.1618167e-06;0.0005801564;0.00020092624;8.236664e-06;1.353277e-05
kaan;1.5657946e-06;2.2709464e-06;1.3682578e-06;8.3889274e-05;1.0967708e-06;2.9595258e-06;3.118688e-05;1.8943032e-05;1.1908537e-06;1.910624e-06;2.0959972e-06;1.7255351e-06
ofmy;3.5670148e-06;2.6486173e-06;6.21214e-06;5.5187948e-06;2.1751382e-06;3.400207e-06;5.6264667e-05;6.0906045e-06;3.8786757e-06;1.0636089e-05;4.3793098e-06;1.948785e-05
gradually;2.5834402e-06;4.102705e-06;4.4363974e-06;4.721191e-06;2.0487494e-05;5.3345717e-05;2.0557218e-06;1.4294478e-06;1.2054359e-05;6.402328e-05;2.2907766e-06;2.662228e-06
adresse;3.5270987e-06;1.7366596e-06;1.934786e-06;2.4357274e-05;2.9288292e-05;2.490562e-06;2.0514876e-06;4.195859e-06;2.781909e-06;3.4206728e-06;2.2392671e-06;2.5960515e-05
poke;3.799592e-06;1.7783808e-06;8.003829e-06;1.5388451e-06;4.300394e-05;1.985742e-06;1.8863034e-06;1.0766279e-05;1.1227999e-05;2.228726e-06;2.4735302e-06;5.93779e-06
elephant;5.1518542e-05;2.0103782e-06;6.681492e-06;1.7748691e-06;8.55918e-06;2.621957e-06;2.0936861e-06;5.0869226e-06;2.3685122e-06;6.887928e-06;1.4187963e-05;3.007949e-06
refuse;3.7073543e-05;0.00018024078;0.00011118672;0.00051362615;6.474353e-05;0.00016211421;8.5074265e-05;0.00028662477;3.6617337e-05;1.1445123e-05;0.00029207417;6.9935713e-06
sunnyvale;2.3704088e-06;1.4709813e-06;0.00012256642;1.6069142e-06;2.4094845e-06;8.6683906e-07;4.29535e-06;1.4277311e-06;6.427331e-05;7.562482e-06;2.415342e-06;3.418142e-05
generally;0.00083847926;0.00031297802;0.00041548137;0.00014194039;0.00025832056;2.3938406e-05;9.197949e-05;0.00017315606;0.00015872062;0.00013877527;0.00020959154;1.4477962e-05
lemur;1.3059884e-05;1.8330032e-06;1.7982495e-06;1.9840168e-06;1.4120013e-06;4.01261e-06;5.932549e-06;2.3870174e-05;1.3684282e-06;7.6131864e-06;4.8112033e-06;3.1181878e-06
burner;1.6991595e-06;6.7168467e-06;7.571772e-06;1.8075915e-06;2.0702088e-05;2.718856e-06;2.0792957e-06;2.7165906e-06;1.9511672e-06;2.60622e-05;2.1223368e-06;2.6817547e-06
naive;1.6770471e-05;3.7341946e-05;3.9828774e-05;3.77985e-05;2.9513908e-06;1.0527641e-05;2.8930615e-06;5.3477717e-05;1.5316391e-06;3.3155486e-06;6.349639e-05;2.704245e-06
ilstu;9.194022e-07;1.2286149e-06;1.4553407e-06;1.2175752e-06;0.00013785732;1.4589311e-06;1.649129e-06;1.0526174e-06;4.267394e-06;1.73624e-06;1.578794e-06;3.666923e-06
hostage;8.3311755e-07;0.000321202;2.5409676e-05;8.302939e-06;1.120384e-06;4.276353e-06;1.4339773e-06;2.069885e-06;1.0962501e-06;2.2574245e-06;4.7600265e-06;8.632264e-07
magazine;5.9487365e-06;9.934936e-05;3.8224556e-05;0.00020224151;0.00042235097;1.5767348e-05;6.0270277e-06;1.12583175e-05;0.00011023791;0.00017444181;0.00025014623;0.0010102757
estate;9.614091e-06;5.479144e-06;2.121632e-06;6.171031e-05;8.213651e-06;2.9311968e-05;4.1314956e-06;1.6688073e-05;2.8150182e-05;3.1323264e-06;9.869831e-06;9.3747614e-05
humour;1.7303606e-06;2.0119069e-06;1.32574e-06;3.9182887e-06;2.2872514e-06;5.6124454e-06;3.9721428e-05;1.8841505e-06;1.481099e-06;2.8854456e-06;2.6206537e-06;7.538643e-05
appearance;1.9407797e-05;5.4385973e-06;3.4808418e-06;2.2402048e-05;5.733385e-06;4.9704617e-05;0.00016677786;6.0663533e-05;4.1239673e-05;0.00023706618;4.4292206e-06;7.68232e-06
team;1.987216e-06;1.1389932e-05;4.726562e-06;1.5980977e-05;5.7706484e-06;6.1791975e-06;0.008099609;3.3022302e-06;2.3904488e-06;0.00034504902;7.3237525e-06;8.819969e-06
thereby;7.5267412e-06;3.1435718e-06;4.1606956e-05;9.719213e-05;1.6251308e-05;2.5590587e-06;3.919112e-06;0.00010367529;2.5096286e-05;1.4157184e-05;8.602579e-06;3.3465876e-06
formal;5.231317e-05;6.463204e-05;3.394498e-05;2.7184935e-05;2.3694315e-06;6.0000425e-06;5.488108e-06;8.201156e-05;4.7956637e-06;0.00010308375;9.343521e-06;3.370858e-06
dominant;7.645861e-06;5.052666e-06;2.1239014e-06;9.774469e-06;2.8257768e-06;4.6283935e-06;9.197892e-05;6.776331e-06;2.3825196e-06;1.2340028e-05;2.2262304e-05;3.2015146e-06
qualifie;3.2023632e-05;1.818521e-05;4.421827e-06;3.6456245e-06;1.3357103e-06;3.2742723e-06;2.1538213e-05;5.2395026e-06;1.291149e-06;3.666e-06;2.7390115e-06;2.0458863e-06
bowman;1.035458e-06;1.2429599e-06;1.3592852e-06;1.2166117e-06;7.725763e-05;1.5576743e-06;1.8229073e-06;1.0594013e-06;1.7095567e-06;1.5255174e-05;1.5420036e-06;3.249975e-06
ucar;1.8382583e-06;1.7149983e-06;5.260119e-06;1.6477405e-06;5.924198e-06;1.7152057e-06;0.00013919285;1.3712312e-06;9.5897034e-05;1.4934739e-05;2.0490627e-06;3.4529567e-05
serbia;7.7460794e-07;5.0284434e-05;2.1605845e-06;0.00041599057;1.2687577e-06;4.048646e-06;1.7226282e-06;2.263863e-06;1.3120947e-06;2.9477978e-06;1.0075823e-05;1.0079519e-06
start;0.0012609604;0.0043283044;0.0006673249;0.0006125466;0.0005922394;0.006036826;0.003486354;0.0003395277;0.0019528874;0.0006198086;0.00047874445;6.9494745e-05
intensity;2.044073e-06;3.0293584e-05;2.4644476e-06;1.3019637e-05;1.5985857e-05;3.5590529e-06;1.936055e-06;2.4193087e-06;0.00010212592;4.0662195e-05;9.75237e-06;3.4961238e-06
writer;2.673329e-05;1.8222448e-05;3.1806092e-05;0.00019813482;4.1199022e-05;6.4858823e-06;0.00018745528;0.00032474057;0.00011947635;9.947746e-05;9.549191e-05;2.5975634e-05
wallet;4.9743053e-06;3.071413e-06;1.5980355e-05;2.102656e-06;2.1248434e-05;6.447401e-05;6.399239e-06;3.7840728e-06;3.0838535e-06;1.1382812e-05;4.9311093e-05;5.1015163e-06
pedal;6.6182156e-07;1.1464233e-06;1.3235303e-06;1.1810848e-06;0.00023089924;1.7986006e-06;1.4101686e-06;9.554404e-07;1.8098912e-06;1.8602497e-06;1.346393e-06;2.8622644e-06
afew;3.1869346e-05;3.2666283e-06;8.109858e-06;2.925807e-05;1.0603744e-05;8.2283095e-06;2.539984e-06;1.677398e-05;4.7285907e-06;2.9279334e-05;1.4528958e-05;4.23658e-06
sighted;4.1156522e-06;2.4788637e-06;2.2060347e-06;2.1099528e-05;1.6017637e-05;2.2909204e-05;2.0870993e-05;1.5165615e-06;1.4353483e-06;3.203517e-06;5.8375763e-06;3.1360516e-06
crawford;1.3362434e-06;1.3763444e-06;1.9767309e-05;1.4899645e-06;6.4545475e-06;9.614067e-07;1.998581e-06;1.2354876e-06;2.3497969e-05;1.4172327e-05;1.8007264e-06;5.4697152e-06
museum;2.6278426e-06;7.568722e-05;2.9409405e-06;0.00022345388;2.6043424e-06;8.603496e-06;1.3041331e-05;1.1531924e-05;8.994935e-06;0.00010025098;1.2452403e-05;0.0001457017
understand;0.0015248631;0.00060840143;0.0004272358;0.0003936811;0.00031440743;0.0009933665;0.0002706921;0.0016199783;0.0001414623;0.00045036426;0.00045254722;2.9443894e-05
virginity;1.5017856e-06;1.3949169e-06;1.1221811e-06;1.5671129e-06;1.5403313e-06;1.3026528e-06;1.3755657e-06;3.8745336e-05;1.1196022e-06;1.5331489e-06;1.4671627e-06;1.8065905e-06
mitigate;5.8739447e-06;2.1097796e-06;1.4338016e-06;2.2591123e-06;1.4955237e-06;1.6418486e-05;1.8802633e-06;3.4088905e-06;1.4715181e-06;4.945791e-06;3.4509943e-05;2.5322734e-06
craig;3.8071692e-06;7.159545e-06;0.00029126686;2.3886323e-06;0.0006167734;3.7827433e-06;0.00041231982;1.9205975e-06;4.5864417e-05;1.0992025e-05;9.312501e-05;0.00043089513
deport;7.6188496e-07;1.5562462e-06;1.0622936e-06;6.422939e-05;1.0012063e-06;1.9879021e-06;5.9762765e-06;1.645366e-06;1.0298061e-06;1.5461537e-06;1.6323207e-06;1.5028153e-06
indication;6.952964e-05;0.0002139834;4.0538034e-05;1.6050051e-05;4.6747045e-05;1.4386513e-05;2.4486882e-05;8.5254906e-05;1.8191415e-05;0.00012114549;6.068484e-05;1.4742157e-05
wittgenstein;3.2824453e-06;2.0557403e-05;1.5165252e-06;2.1441374e-06;1.1856262e-06;2.3913178e-06;1.7734145e-06;3.7067388e-05;1.2542848e-06;2.176016e-06;1.9867737e-06;3.028183e-06
incidentally;3.815764e-05;1.0836705e-05;7.187012e-05;2.0146861e-05;1.0725827e-05;7.316404e-05;3.6833557e-05;1.5756374e-05;8.5922575e-06;5.248269e-06;7.5734756e-06;4.8008246e-06
squad;1.4481716e-06;0.00011567235;1.9618333e-06;7.807463e-05;2.3747727e-06;7.649139e-06;1.05809e-05;3.9565834e-06;1.2055509e-06;2.2810261e-06;3.630371e-05;1.7100803e-06
ordinary;0.00014934911;0.00017205176;0.00020889837;2.0030457e-05;1.763877e-05;7.005922e-05;1.1396492e-05;4.289632e-05;1.019495e-05;5.085979e-05;7.449276e-05;4.4582825e-06
