;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
swinge;2.8615273e-06;7.6913597e-07;1.1859282e-06;5.6041595e-06;1.4397247e-06;8.331117e-07;4.0412922e-07;3.8622974e-07;1.0212667e-06;1.876362e-05;1.0204094e-06;4.648673e-07;3.6691446e-07;1.4845309e-06;1.5325276e-06;1.5670953e-06;1.3390714e-06;8.494363e-07;9.4233013e-07;2.0123316e-06;9.376657e-05
greatly;0.00020386896;0.00018050979;3.0150804e-05;4.9143127e-05;4.026437e-06;0.0002798708;7.914613e-06;4.2504666e-06;7.80802e-06;4.631042e-06;1.6913102e-06;9.636947e-06;9.069238e-06;0.00027515262;4.527519e-06;2.549626e-06;0.0044443;1.4557915e-05;4.84551e-06;2.7413776e-05;2.0845955e-06
adjustment;2.1280769e-06;8.0110665e-05;1.3624064e-05;1.8609362e-06;1.44246305e-05;4.941068e-05;2.5017914e-06;1.1450689e-05;3.5874991e-06;5.7040147e-06;1.6832903e-06;2.6131124e-06;2.3732212e-06;6.761277e-05;2.1308208e-06;7.4386146e-05;4.2508955e-06;1.0022293e-06;1.7450125e-06;4.6291552e-05;0.00010148614
opponent;3.3699482e-06;9.736746e-07;1.8088801e-06;1.4719013e-05;5.229786e-05;1.106495e-06;2.5839947e-06;2.3786654e-06;2.0964287e-06;0.00012007835;0.00020770395;2.6195048e-06;2.1652713e-06;2.6352704e-06;8.6084736e-05;5.480315e-06;1.1792698e-06;4.220744e-05;3.2170698e-05;1.2480095e-06;0.00016921142
withhis;1.415716e-06;7.403985e-07;1.0443378e-06;4.5101447e-06;1.4781417e-06;8.16353e-07;5.539148e-07;4.4434256e-07;8.0344205e-07;1.289751e-06;8.659408e-07;5.7216363e-07;4.976701e-07;1.6180772e-06;2.5841384e-05;1.1261382e-05;1.4191878e-06;2.5141975e-05;1.6420086e-06;1.0657662e-06;2.8318207e-06
renounce;1.792605e-06;8.4273756e-07;1.1981513e-06;1.6125592e-06;2.532455e-06;9.194237e-07;6.741627e-07;7.529858e-07;1.0555559e-06;2.9628876e-05;1.3536095e-06;6.8880786e-07;5.7996004e-07;1.8814327e-06;9.099555e-06;1.3322845e-06;1.594989e-06;2.4712086e-05;0.0001850213;9.858644e-07;1.0516128e-06
standardized;2.1085177e-06;4.357716e-05;2.0015032e-06;8.929074e-07;1.3106018e-06;6.370543e-06;2.7300686e-07;8.5246955e-07;2.6589581e-05;1.0138733e-06;1.3886173e-06;2.9325776e-07;2.5896782e-07;8.584652e-06;1.1746666e-06;9.142451e-07;3.1096006e-06;8.2687507e-07;1.1094853e-06;4.1077274e-06;1.1348254e-06
brush;4.8902957e-06;2.3898738e-05;3.0978372e-06;3.625509e-05;2.847954e-06;1.8215305e-06;9.411532e-07;2.3831067e-06;0.00010806218;2.7423002e-05;1.5138875e-06;9.719492e-07;8.8897735e-07;4.6701753e-05;1.3034692e-05;2.635919e-06;4.3605055e-06;3.4880134e-06;2.957884e-05;1.9697413e-06;1.5979339e-06
gregory;0.0013628781;2.8074564e-06;1.6839542e-05;2.4094709e-06;1.975627e-06;0.00014913492;1.199742e-06;5.0618297e-07;6.0766954e-05;1.6442639e-06;1.6784747e-06;1.3783142e-06;1.0735976e-06;6.6016005e-06;2.422198e-06;1.301669e-06;1.6701646e-05;6.851751e-05;2.9805185e-06;2.6264406e-06;8.2144215e-06
steam;1.7456304e-06;1.169095e-06;2.5132094e-05;1.3794739e-06;1.3254489e-06;1.2860403e-06;1.0378991e-06;2.5961601e-06;1.4530889e-06;1.0318224e-06;1.1171961e-06;1.0703982e-06;1.0186461e-06;3.2613138e-05;1.7509443e-06;1.6306592e-06;1.7665328e-06;9.201403e-07;2.8858271e-06;0.00044154443;5.890775e-06
badly;1.5189662e-06;3.8273367e-05;5.605012e-05;0.0001785837;7.5325574e-06;6.5093495e-06;9.250905e-06;2.5814716e-05;2.3794557e-06;4.652543e-05;7.867173e-05;8.965497e-06;8.915444e-06;4.4604662e-06;0.00010079117;0.00031249848;1.9353815e-06;1.22235215e-05;2.997079e-06;2.9409088e-05;6.483073e-05
david;0.0044146115;0.00027395663;0.00053158466;0.0022525783;0.0012794636;0.0006422198;0.0011097784;6.552856e-05;0.000753913;0.00064534193;0.0030652278;0.0014246193;0.0011171425;0.002039233;5.4582626e-05;0.0005890554;0.0037936775;0.0009291484;0.00037592853;0.00050016603;0.0019630038
lourde;1.5204125e-06;7.007446e-07;1.5217806e-06;1.1534788e-06;1.248927e-06;6.9921464e-07;2.5519293e-07;4.7342212e-07;9.943085e-07;1.0860191e-06;7.787171e-07;2.6190264e-07;2.2099272e-07;2.1669855e-05;1.6209378e-06;1.0605024e-06;1.043027e-06;0.0001278747;2.14154e-06;8.1441897e-07;8.4862717e-07
connecticut;0.00021019005;1.0975782e-06;3.2238102e-06;1.3526159e-06;5.2758605e-05;1.0433042e-06;4.4700872e-07;6.595389e-07;1.3243951e-05;2.2465465e-06;2.519711e-06;4.865439e-07;4.0918803e-07;5.5414444e-06;1.7706245e-06;4.9146875e-06;2.2966747e-06;9.63284e-07;1.2132158e-06;8.196696e-06;4.7261083e-06
energia;1.6300636e-06;9.1738553e-07;0.00019865033;1.0075368e-06;1.4102469e-06;9.1367144e-07;1.368959e-07;3.0964188e-07;1.410378e-06;1.0752724e-06;7.967871e-07;1.4884004e-07;1.2231293e-07;2.1370681e-06;7.611142e-07;9.362142e-07;1.0882868e-06;7.982722e-07;7.9513353e-07;1.4641826e-06;9.824374e-07
middle;0.0012116563;4.2925298e-05;2.6762838e-05;2.3486004e-05;0.00023160262;7.692051e-05;7.678341e-05;3.4895696e-05;8.85043e-06;0.00082183606;6.653144e-05;7.4920645e-05;7.019351e-05;1.1701176e-05;0.0002427672;0.0002302082;7.267305e-06;0.00013814458;0.00011432651;0.0002826851;0.00023308145
asic;2.1412382e-06;1.0120038e-06;9.008654e-07;9.361677e-07;1.1961353e-06;4.8461763e-05;3.8694162e-07;3.6041106e-07;1.1088283e-06;8.8210084e-07;5.4509463e-05;4.2653943e-07;3.43477e-07;1.1498357e-06;1.2041089e-06;7.1309734e-07;2.3384887e-06;7.374845e-07;9.636112e-07;1.1872157e-06;1.261074e-06
tokyo;2.8454228e-06;1.9001012e-05;1.703467e-05;1.0361325e-06;5.273654e-06;2.8679965e-06;3.8863988e-07;7.250121e-07;0.00017365956;1.7682366e-06;1.465024e-06;4.5969335e-07;3.8683768e-07;2.8883474e-06;1.1879625e-06;6.867038e-05;0.00014704425;9.865481e-07;1.1721115e-06;1.7800832e-06;8.75237e-06
testimony;1.8009052e-06;9.344379e-07;2.3803052e-06;0.00021426487;4.7670084e-05;9.665675e-07;8.736153e-07;1.2831314e-06;1.3032635e-06;5.895154e-05;1.4713639e-06;8.899795e-07;7.4394165e-07;4.8510087e-06;8.8226625e-06;8.8411754e-05;9.12042e-07;0.0002368174;0.00011000673;1.3040841e-06;2.4755375e-06
matter;9.192105e-06;7.5618336e-05;0.00076571666;0.000734013;0.0006067899;2.2140033e-05;0.0008132231;0.0006107174;9.066048e-06;0.0004282034;0.0006863461;0.0007287181;0.0007250618;0.0003917443;0.0013188644;0.00070384814;7.662046e-06;0.0010264942;0.0028361343;0.00032276797;0.0004523854
telecommunication;1.8482212e-06;4.154287e-06;9.405766e-05;1.0933841e-06;2.829731e-06;1.4621719e-06;2.488538e-07;7.6764894e-07;1.3053166e-05;1.313086e-06;0.0003767613;2.669381e-07;2.2466881e-07;2.4453916e-06;1.0972847e-06;1.2464577e-06;2.7316064e-06;9.572099e-07;1.2382503e-06;1.6766521e-06;1.4354883e-06
idle;2.8181523e-06;0.00020028124;3.2636099e-06;2.6035132e-06;2.5842214e-06;6.4645574e-05;3.7937302e-06;9.847881e-06;3.964992e-06;1.3579825e-06;9.507499e-05;4.1244057e-06;3.5859184e-06;2.766231e-06;2.641047e-06;2.3293026e-06;4.5343554e-06;8.268944e-05;3.4755885e-05;0.00031668146;0.00040680883
diving;1.965218e-06;1.1440251e-06;6.388123e-05;1.2268792e-06;3.841203e-06;1.1103511e-06;3.9364687e-07;7.2453173e-07;6.710053e-06;9.857585e-06;1.0558906e-06;4.2276827e-07;3.522305e-07;2.864132e-06;6.716371e-06;1.8918884e-06;1.5024802e-06;1.0221787e-06;1.1390392e-06;1.5172692e-06;1.9700477e-05
timmon;1.4123596e-06;7.4806445e-07;9.499548e-07;9.427348e-07;1.0928725e-06;1.0183171e-06;3.2985386e-07;4.9654165e-07;7.8441064e-07;9.340685e-07;8.168742e-07;3.5512255e-07;2.8512284e-07;1.3514436e-06;1.2692444e-06;6.328631e-07;1.2659214e-06;1.758615e-06;0.00023356391;7.4283713e-07;8.991559e-07
province;1.9787205e-06;9.565591e-07;2.0982616e-06;1.3983647e-06;0.00018182391;9.51899e-07;5.134324e-07;1.480354e-06;2.217446e-06;0.00032718954;1.393462e-06;5.3376294e-07;4.7328638e-07;5.6147865e-06;2.6903776e-06;2.8300137e-06;1.360265e-06;1.0398791e-06;1.3381147e-06;5.2544194e-05;2.5862237e-06
oscar;3.1716568e-06;1.5722818e-06;1.3836038e-05;1.4533346e-06;8.874079e-06;1.0675073e-05;7.9217074e-07;1.0248608e-06;2.786568e-06;1.2533833e-06;1.5871549e-06;9.093001e-07;7.0766714e-07;2.1417015e-06;1.716518e-06;2.1503672e-06;6.668116e-06;3.1411062e-06;1.6825322e-06;2.2037746e-06;0.00012427638
lehigh;0.0006026617;1.4429596e-06;5.7738885e-06;7.858537e-06;2.845714e-06;7.108467e-05;5.160048e-06;1.5734244e-06;2.565477e-06;2.1853432e-06;1.1799301e-06;6.163342e-06;5.2581963e-06;0.00015639309;2.8758304e-06;2.0024386e-06;6.930382e-05;9.3173713e-07;1.5933131e-06;0.00037092497;4.693871e-05
impress;8.15356e-06;8.766046e-06;2.6550376e-06;6.5110457e-06;2.4442406e-06;9.426925e-05;1.10126275e-05;1.20236855e-05;1.3492426e-05;4.331924e-06;2.168124e-06;1.1998351e-05;1.0668456e-05;2.3980809e-05;1.2025649e-05;2.3607977e-06;1.0196395e-05;2.0284645e-06;1.798028e-05;2.761901e-05;3.680434e-05
champ;1.8967443e-06;9.504729e-07;1.0643424e-06;9.8941e-07;1.1569042e-06;6.8784675e-06;4.2821097e-07;4.0716645e-07;1.0910505e-06;8.2911316e-07;1.0298436e-06;5.0543997e-07;3.791035e-07;1.3063873e-06;1.0599261e-06;9.963686e-07;1.9616493e-06;6.831228e-07;9.146827e-07;1.3060992e-06;0.00029451138
theserial;1.3033856e-06;9.796767e-07;9.112116e-07;9.698114e-07;1.2481364e-06;1.1547247e-05;3.2873743e-07;3.93418e-07;1.1072497e-06;8.933307e-07;0.00011111338;3.56244e-07;2.918651e-07;1.1960403e-06;1.1105569e-06;6.9237353e-07;1.7030659e-06;7.4710556e-07;9.847715e-07;1.1818014e-06;1.2932628e-06
sheffield;2.1035528e-06;7.782239e-05;1.2903095e-06;1.1166965e-06;1.1798594e-06;1.349015e-06;3.8823717e-07;8.030083e-07;1.587227e-06;9.4040115e-07;1.0479833e-06;4.450218e-07;3.6098356e-07;1.5262732e-06;1.1848612e-06;1.1701126e-06;1.8175662e-06;7.475382e-07;9.791696e-07;1.3122358e-06;0.00021808097
sarto;1.2049727e-06;5.943632e-07;8.619488e-07;8.777849e-07;9.165264e-07;6.7051343e-07;1.5752836e-07;2.4742027e-07;8.641149e-07;9.786387e-07;7.0384715e-07;1.6700035e-07;1.3763584e-07;1.16918e-06;1.1470003e-06;5.697259e-07;1.1097408e-06;9.068136e-05;1.6656838e-06;8.409753e-07;7.391545e-07
treasury;1.7861817e-06;8.501795e-07;1.6966623e-06;0.00016280155;3.396385e-05;9.864137e-07;5.758648e-07;8.619426e-07;1.0947788e-06;1.6434253e-06;1.8016099e-05;6.023838e-07;5.22404e-07;1.9150618e-06;2.653534e-06;4.675893e-05;1.1957804e-06;2.9310486e-05;1.9352276e-06;1.1503351e-05;1.6193345e-06
crony;5.1238326e-06;1.1941719e-06;1.7148916e-06;1.4920287e-05;2.3327433e-05;9.1586287e-07;3.5723542e-07;5.118904e-07;1.5722159e-06;5.278444e-05;1.1819404e-06;3.8976478e-07;3.2919655e-07;1.7635952e-06;2.628416e-06;7.415559e-06;1.5070323e-06;1.0027397e-06;1.3338541e-06;2.887998e-06;1.4376942e-06
velocity;2.5847235e-06;2.1422732e-06;0.00052617874;2.1475245e-05;2.84972e-06;2.5936879e-05;4.5331947e-07;8.267203e-07;2.6254488e-06;1.3802834e-06;1.5216559e-06;5.195197e-07;4.3083602e-07;8.130177e-06;1.3207673e-06;2.0361404e-06;4.07998e-06;1.0841488e-06;2.0741616e-06;1.7557695e-05;1.7882089e-06
easily;5.0599765e-06;0.00017978692;0.0001804965;0.0001765411;5.679906e-05;0.00011076273;0.00016029729;0.0010295409;0.0005019989;8.274753e-05;0.00063053146;0.00014953202;0.00015923576;0.00016672387;0.00022608115;6.3219836e-06;1.2079016e-05;1.2312045e-05;0.00050397543;0.00040554692;0.00023005038
honesty;1.6493254e-06;8.867352e-07;1.2056624e-06;6.281376e-06;1.1836812e-05;1.2123219e-06;1.3975385e-06;1.2768496e-06;1.1189006e-06;1.5946354e-05;1.359304e-05;1.3742048e-06;1.2214316e-06;2.2170725e-06;6.9709786e-05;2.152189e-06;1.2634512e-06;4.20186e-05;5.1730316e-05;1.4047669e-06;1.2920301e-06
nurse;1.6723008e-06;1.0255152e-06;2.810246e-06;1.6372694e-06;2.4668763e-05;9.303033e-07;6.2391734e-07;1.7761876e-06;1.6640771e-06;8.099968e-06;1.1351054e-06;6.3243476e-07;5.661418e-07;0.00012039797;2.5975116e-06;6.0127353e-05;1.3919333e-06;9.226684e-07;1.4849301e-06;1.5708581e-06;1.21927e-06
alarm;5.3796234e-06;3.265533e-05;3.0424542e-06;2.6047524e-06;8.53573e-06;2.2323416e-06;3.5438054e-06;4.669422e-06;2.0431482e-06;2.1875555e-06;1.9933464e-06;3.5435783e-06;3.7124714e-06;3.3440579e-06;4.2300762e-05;2.2849035e-05;3.8856997e-06;6.4558444e-06;3.4256161e-06;0.0008273619;2.1443248e-06
brunel;0.0002472118;1.3878329e-06;4.6645246e-06;1.0483682e-06;1.3275995e-06;2.2761144e-06;7.4596613e-07;2.073165e-07;4.8725487e-06;1.0397148e-06;1.400877e-06;9.181806e-07;7.4570534e-07;1.996752e-06;1.4977134e-06;7.8312524e-07;0.0005207122;2.4443674e-05;1.9058862e-06;1.371799e-06;1.2238448e-06
bark;2.1084957e-06;1.0730552e-06;4.4609237e-06;2.7659623e-06;1.4903345e-06;9.672887e-07;7.311856e-07;1.0456596e-06;1.5327126e-06;4.890406e-05;1.0134577e-06;7.689471e-07;6.702231e-07;4.8833823e-05;2.3485368e-06;1.5852616e-05;1.4984965e-06;9.927337e-07;1.2280437e-06;4.3095215e-06;6.6677007e-06
gaia;1.5313527e-06;8.0651586e-07;1.3501968e-06;9.893957e-07;9.623948e-07;1.0192878e-06;3.5130245e-07;5.2586535e-07;8.222631e-07;8.100273e-07;8.1851573e-07;3.7836392e-07;3.4379687e-07;1.6116721e-06;1.0916921e-06;7.3339993e-07;1.4705265e-06;6.921237e-07;7.1381834e-07;0.0001436772;1.0727427e-06
mcdowell;2.5637262e-06;1.092079e-06;1.7290093e-05;1.2309589e-06;1.4857325e-06;1.386784e-06;5.742443e-07;7.3865203e-07;3.7200864e-06;1.604261e-06;8.8625796e-07;6.21585e-07;5.095342e-07;2.9307866e-06;1.7969938e-06;1.1106596e-06;1.865296e-05;2.9217608e-05;0.00016656348;1.2620033e-06;1.3009496e-06
kilroy;1.983321e-06;1.2657022e-06;1.9175704e-05;1.1522266e-06;1.7134141e-06;1.1487856e-06;2.8273152e-07;7.478788e-07;1.611353e-05;1.4888271e-06;1.0204863e-06;2.9225825e-07;2.3976227e-07;2.6922662e-06;1.4781752e-06;1.0565996e-06;1.8377463e-06;3.0564504e-05;0.00015853769;1.2266976e-06;1.127047e-06
conductor;4.0700966e-06;1.3320896e-06;2.0349988e-05;1.3674914e-06;1.7127509e-06;2.618163e-06;1.1027325e-06;1.0581801e-06;1.8498924e-06;1.7023984e-06;1.2025471e-06;1.1858548e-06;1.1273386e-06;3.310938e-06;1.5309688e-06;7.2106224e-05;2.9665648e-06;1.2124129e-06;7.232058e-07;0.00065781863;2.1989538e-06
cheese;1.969659e-06;1.326757e-06;3.5977685e-06;5.6602246e-05;2.4225217e-06;2.493513e-06;1.9794327e-06;2.8928087e-06;1.4381362e-06;3.7273162e-06;5.105732e-05;2.0519044e-06;1.7610248e-06;0.00010681638;3.5748365e-06;4.425924e-05;1.5223848e-06;1.6972023e-06;7.6134056e-06;1.5185908e-06;3.2098145e-05
necessaryto;1.596506e-06;1.0115888e-06;1.5005971e-06;1.6217712e-06;3.187333e-05;1.0379427e-05;4.7079766e-07;9.666234e-07;1.4277232e-06;1.2316694e-06;5.3810195e-06;5.0254505e-07;4.07419e-07;1.4710733e-06;2.5427278e-06;1.0481991e-06;1.7857274e-06;1.2840151e-05;4.363888e-06;1.2480691e-06;1.8896727e-06
theyhave;8.6767795e-06;1.6722605e-06;4.0760515e-06;3.444739e-06;6.2235806e-05;2.806088e-05;1.3852546e-05;3.1221512e-05;2.0455793e-06;8.459168e-06;3.6855996e-05;1.3784247e-05;1.26122595e-05;8.76292e-06;2.5118738e-05;3.3432195e-06;3.5930645e-06;1.2933436e-05;2.994001e-05;8.527735e-06;5.682559e-06
intrinsic;2.6054627e-06;0.00062036276;2.7680708e-06;6.187219e-06;1.9727256e-06;2.3779382e-06;2.444018e-07;1.038829e-06;4.5638194e-06;1.3201616e-06;1.3087243e-06;2.6729523e-07;2.5102082e-07;2.4383098e-06;2.1689987e-06;1.278065e-06;3.8454727e-06;6.241301e-06;1.9157355e-06;1.5634779e-06;1.2055007e-06
coordination;2.1401909e-06;4.868113e-06;1.0386732e-05;9.765865e-07;2.1826132e-05;1.0738169e-06;1.99505e-07;6.7932916e-07;5.0378774e-05;1.5721213e-05;1.3924059e-06;2.20711e-07;1.7847108e-07;1.8807223e-06;1.4465949e-06;1.578129e-06;2.0705043e-06;9.678015e-07;1.0975333e-06;1.2053506e-06;2.104566e-05
documentary;1.9323197e-06;7.679706e-07;1.3170292e-06;0.00028256248;9.3361405e-06;8.5263173e-07;2.7305714e-07;3.195755e-07;1.0326087e-06;8.345533e-05;9.758828e-07;3.0178666e-07;2.476916e-07;1.6465344e-06;2.7032731e-06;2.1235296e-06;1.0849137e-06;1.8577296e-06;2.6590862e-06;1.1336759e-06;1.3308854e-06
exploration;2.9945911e-06;6.6270164e-05;0.0013819259;1.2823492e-06;5.775459e-06;1.8930303e-06;2.2046953e-07;1.6850736e-06;4.89713e-05;6.1349933e-06;1.8152916e-06;2.3443421e-07;1.9761542e-07;5.4103e-06;8.320884e-07;1.8151685e-06;2.6976718e-06;1.7915859e-06;4.8603644e-05;2.0677862e-06;1.2499829e-06
thatmatter;3.6786707e-06;1.4036459e-06;4.773142e-06;1.2192742e-06;1.5925208e-06;3.274496e-06;5.83427e-07;7.471738e-07;2.0428852e-06;1.0887298e-06;1.0485488e-05;6.450721e-07;5.2823435e-07;1.6099777e-06;1.8264643e-06;1.1936963e-06;1.978602e-06;8.937991e-07;1.0409497e-06;6.3656257e-06;4.770925e-05
yesterday;3.869668e-06;1.9190525e-06;0.00011986062;0.00041433566;8.2213255e-06;3.467043e-05;4.4880467e-06;2.0196117e-06;2.2564273e-06;0.00026934108;5.054007e-06;5.2113855e-06;4.094767e-06;6.890999e-06;5.9086765e-06;0.0017769376;2.731393e-06;1.8368764e-06;2.5646796e-06;7.680282e-06;0.000565365
democratic;2.1427068e-06;8.0088773e-07;1.5115287e-06;2.192862e-05;0.0004773075;8.9849374e-07;8.313929e-07;1.1475182e-06;1.5773837e-06;0.00012600711;1.5535485e-06;8.2670977e-07;7.4954625e-07;2.3941745e-06;0.00011373355;3.152946e-05;1.0899487e-06;1.1626739e-06;1.390846e-06;1.1778217e-06;1.2814755e-06
kingdom;3.3968358e-06;3.8193262e-05;7.389312e-06;2.4241251e-06;8.090424e-05;2.1544352e-06;5.335925e-07;3.2508783e-06;9.92217e-05;6.266314e-05;2.3595237e-06;5.23878e-07;4.5881197e-07;1.833618e-05;5.872745e-06;3.9824386e-06;3.4935913e-06;0.0011881865;6.435763e-05;2.0726054e-06;1.5326258e-06
monosodium;1.4385934e-06;7.2556634e-07;1.814554e-06;1.0431581e-06;7.598655e-07;7.9375695e-07;3.240488e-07;5.2637813e-07;1.0275535e-06;8.728307e-07;6.392469e-07;3.3534968e-07;2.935377e-07;0.00013248823;1.5090111e-06;8.5738077e-07;1.327807e-06;7.8142773e-07;1.040787e-06;7.60192e-07;8.317864e-07
highway;3.0902713e-06;2.4862395e-06;3.475364e-06;2.141089e-06;0.00016908486;3.8279395e-05;3.379698e-06;4.540098e-06;4.3334207e-05;3.7408163e-06;2.5384222e-06;3.303038e-06;3.3313722e-06;7.798321e-06;0.00038039513;6.257299e-05;4.2700976e-06;1.4879848e-06;1.5869954e-06;0.00082849135;2.874452e-06
accomplishment;2.188916e-06;9.581514e-07;5.1606376e-06;1.4930115e-06;2.912822e-05;1.0685885e-06;8.2958235e-07;1.7561474e-06;1.5611059e-06;1.270728e-06;1.9943848e-06;8.841398e-07;7.271207e-07;1.5116418e-05;2.951625e-06;3.1535935e-06;1.5090241e-06;1.0827797e-06;3.4569673e-06;1.3610183e-06;5.684125e-05
tendency;1.7868871e-06;1.1319192e-06;1.6416159e-06;1.7124531e-06;2.2566844e-06;9.6270605e-06;3.3738368e-06;3.1475197e-06;1.2911905e-06;3.0432175e-06;1.543786e-06;3.289919e-06;2.9983853e-06;2.0845551e-05;0.00012384869;1.4753529e-06;2.5047727e-06;8.1309736e-05;6.7557194e-05;4.6742803e-06;4.154072e-06
suspicious;3.3289182e-06;6.344761e-06;2.7928077e-06;5.563282e-05;9.339876e-06;2.2790262e-05;2.9121954e-06;4.5181046e-06;4.0889377e-06;2.0638074e-06;3.7377053e-05;2.9981834e-06;2.7387782e-06;1.4485931e-05;4.395447e-06;5.9091493e-05;3.2292849e-06;3.559922e-05;3.1393186e-06;3.3482745e-05;2.268384e-06
affiliate;4.262527e-05;9.718841e-06;2.398677e-06;3.3280725e-05;5.8277665e-06;1.3788017e-06;8.7056304e-07;9.636863e-07;6.3110456e-05;3.9981347e-05;2.6881926e-06;9.5252403e-07;8.024213e-07;5.471364e-06;1.2788394e-05;2.3524024e-05;3.4205932e-06;7.2987614e-06;1.8711738e-06;1.5191948e-06;5.5802906e-05
philly;2.0466432e-06;8.757219e-07;1.3431294e-06;1.1044057e-06;1.0836926e-06;3.6726972e-06;6.3955184e-07;5.980931e-07;1.0633083e-06;8.616136e-07;9.852811e-07;7.4194884e-07;5.8556935e-07;4.23909e-06;1.2647916e-06;1.301015e-06;1.7173564e-06;6.864128e-07;9.141708e-07;1.4384854e-05;0.00039772328
belly;1.5935702e-06;9.544406e-07;2.7456037e-05;1.5364905e-06;1.6102023e-06;1.0136489e-06;3.5231702e-07;5.051293e-07;1.4630477e-06;3.5154604e-05;1.0208989e-06;3.6778448e-07;3.1653784e-07;6.2642994e-06;1.5207753e-06;7.5575896e-05;1.1622698e-06;1.1360916e-06;1.2329348e-06;2.6015964e-06;1.4522543e-06
