;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
wrapper;2.5071135e-06;6.0329194e-07;1.3596753e-06;4.850797e-05;1.495302e-06;1.2315946e-06;5.714821e-07;7.821196e-05;1.1409809e-06;5.5101657e-07;8.8347406e-07;1.1578966e-06;1.2065489e-06;2.6598798e-06;8.8515617e-07;1.8935896e-05;1.2281241e-06;1.5246686e-06;6.2550487e-07;1.6083173e-06;5.646824e-07;4.9120795e-06;1.151119e-06
mist;1.0377628e-06;4.904298e-07;1.5041983e-06;7.778154e-07;1.0494308e-06;8.186924e-07;4.329451e-07;8.704363e-07;1.0855362e-06;4.9074043e-07;1.9435338e-05;1.4745867e-06;1.4387495e-06;9.79771e-07;1.0999917e-05;9.282413e-07;1.5700757e-06;5.5654793e-05;5.0454605e-07;7.305812e-06;4.5277457e-07;1.1623554e-06;1.1653002e-06
swinge;9.610808e-07;4.6117162e-07;1.5324388e-06;8.254415e-07;7.879755e-07;7.444703e-07;4.243182e-07;7.841009e-07;1.4772686e-06;5.1265016e-07;8.063167e-06;2.2836452e-05;1.9159565e-06;8.227987e-07;8.410852e-07;9.557462e-05;1.1508313e-06;9.920677e-07;5.075531e-07;1.2127267e-06;4.4663835e-07;7.791779e-07;1.238791e-06
greatly;7.707738e-06;6.8765144e-06;0.00012933069;0.00021762591;0.00019912582;0.0039448394;7.88608e-06;2.1859155e-06;2.6582136e-06;6.4776846e-06;1.4897014e-05;5.830138e-06;5.640468e-06;2.982207e-06;2.9518127e-05;1.6398542e-06;5.635493e-06;1.9551711e-05;6.76284e-06;0.00016933422;7.5428616e-06;5.263988e-05;3.8861217e-05
adjustment;3.4926068e-06;2.0975144e-06;1.5875187e-06;2.5169659e-06;3.864195e-05;1.5612202e-06;1.8888005e-06;1.5397184e-06;8.247534e-05;2.3600805e-06;1.3360024e-06;5.6051445e-06;1.5682446e-06;1.3615141e-06;1.0054632e-06;0.000121029254;1.7102993e-06;2.8921968e-05;2.2879776e-06;3.1396383e-05;1.8758361e-06;0.00039334322;8.33334e-06
opponent;2.262262e-06;2.3074417e-06;1.8817547e-06;1.2174374e-06;1.2144841e-06;6.8864654e-07;2.317135e-06;0.00021961858;6.198539e-05;2.11527e-06;2.5224856e-06;0.00012139445;0.00013226268;5.111203e-05;4.4487424e-05;0.00015713021;4.5465545e-06;1.8238986e-06;2.5169893e-06;1.7839789e-06;2.1530186e-06;2.2412426e-06;3.734183e-05
withhis;6.6812663e-07;6.2312847e-07;1.1943766e-06;7.463489e-07;6.8352136e-07;1.1318186e-06;5.055919e-07;7.718414e-07;1.0004798e-06;6.325412e-07;1.8268103e-05;1.1845655e-06;1.4868232e-06;1.675771e-06;1.9198087e-05;2.1317048e-06;5.9682025e-05;1.0798474e-06;6.157321e-07;1.0626355e-06;5.406474e-07;9.5190416e-07;1.2234062e-06
renounce;9.902308e-07;7.011402e-07;1.2738747e-06;9.932114e-07;5.8158605e-07;1.1345495e-06;6.045058e-07;1.0930959e-06;1.670268e-06;6.545893e-07;1.0272403e-06;2.4260351e-05;1.5516066e-06;0.00012740852;2.3179155e-05;9.525922e-07;1.7439248e-05;8.718182e-07;7.1713185e-07;1.2301633e-06;6.098003e-07;1.1852459e-06;1.8442062e-06
standardized;2.1535443e-05;5.1917965e-07;1.6016947e-06;1.2858678e-05;4.724608e-06;1.8702831e-06;4.4903265e-07;1.0712391e-06;1.4683775e-06;5.3191854e-07;8.3639503e-07;1.0605179e-06;1.3115625e-06;1.1627081e-06;9.143312e-07;9.901925e-07;9.552945e-07;2.5899794e-06;5.479131e-07;7.0377896e-06;4.809989e-07;7.682752e-05;1.123525e-06
brush;7.7283774e-05;2.0515768e-06;3.9361557e-06;6.4260225e-06;1.2281721e-06;3.3103113e-06;1.6750258e-06;1.2265383e-06;3.2954003e-06;2.0118612e-06;4.6730987e-05;1.0377616e-05;0.00010708767;4.910664e-05;2.6868615e-06;1.5185059e-06;2.8838716e-05;1.5772519e-06;2.0491373e-06;3.9359334e-06;1.8400365e-06;4.059318e-06;2.248511e-06
gregory;4.4207587e-05;8.2963874e-07;0.0015166929;1.8188338e-06;8.554699e-05;7.890325e-06;9.4002473e-07;1.2932559e-06;2.1231747e-06;7.1204846e-07;2.3490702e-06;1.6236876e-06;2.2415422e-06;1.56741e-06;7.007787e-05;4.671291e-06;1.4204581e-06;2.2115632e-06;8.4450204e-07;7.68969e-06;9.430237e-07;2.8374006e-06;1.6651197e-06
steam;1.2547533e-06;1.1713637e-06;1.4197119e-06;1.043422e-06;1.6452353e-06;1.3473392e-06;1.1034457e-06;1.1403542e-06;1.3377853e-06;1.1133548e-06;8.495566e-07;8.820649e-07;1.6122635e-06;4.9690584e-06;9.622731e-07;6.7044934e-06;1.4385706e-06;0.00049312843;1.1878172e-06;4.4269244e-05;1.1129648e-06;2.959233e-06;1.3325265e-06
badly;2.792391e-06;1.2001028e-05;1.6671772e-06;4.5728157e-05;3.5380954e-06;1.6168718e-06;1.0129661e-05;0.00013590624;4.207644e-05;1.3193912e-05;0.0003775055;3.8688984e-05;0.00015187732;2.6131063e-06;5.038478e-06;7.5293574e-05;6.4164895e-05;3.4126067e-05;1.22015645e-05;3.0455938e-05;1.0129027e-05;6.445902e-06;4.6304986e-06
david;0.00083084236;0.00045421367;0.004320236;0.00059541594;0.0010913099;0.0057597267;0.000835611;0.0040213256;0.00043210134;0.0003440358;0.002105394;0.00070606027;0.0014237468;0.0005633866;0.000998625;0.0021687392;0.0009845092;0.00061862345;0.00040853408;0.0013934381;0.0005946643;0.00010033944;0.0012485648
lourde;9.931418e-07;2.8482657e-07;1.2817848e-06;7.10751e-07;6.0986036e-07;6.4363434e-07;2.593424e-07;6.7267047e-07;9.709557e-07;2.6760014e-07;8.066347e-07;9.993056e-07;1.160059e-06;1.377981e-06;0.00013260957;8.038424e-07;1.9007994e-06;9.864243e-07;2.9451556e-07;1.0725271e-05;2.5520748e-07;9.2587493e-07;1.5892291e-06
connecticut;9.001609e-06;4.3117754e-07;0.00020716268;9.986338e-07;9.65212e-07;1.8560046e-06;4.1739887e-07;1.9432537e-06;4.3516487e-05;4.2613019e-07;9.0323556e-07;1.8849679e-06;1.3558662e-06;1.0915801e-06;7.49823e-07;2.2310567e-06;9.813801e-07;9.579493e-06;4.5637134e-07;7.617387e-06;4.077827e-07;1.7557255e-06;8.0093505e-06
energia;1.1485619e-06;2.431824e-07;1.2947327e-06;7.415415e-07;6.916788e-07;8.7645446e-07;2.2173278e-07;6.1487816e-07;1.1773196e-06;2.5991966e-07;7.271953e-07;9.411559e-07;1.0233452e-06;7.418318e-07;6.359861e-07;8.6335245e-07;7.416831e-07;1.0465351e-06;2.550539e-07;0.00015665058;2.1233791e-07;1.0336557e-06;8.7363395e-07
middle;6.542043e-06;0.00011510883;0.00077949127;5.4993292e-05;0.00010808895;6.1349197e-06;0.00011802837;6.6712964e-05;0.00035770587;0.00010643496;0.00016492505;0.000742537;0.0002464774;0.0001298299;0.00017956807;0.00027535058;0.0002091787;0.00024486906;0.000117068004;1.1288747e-05;0.00011141888;1.2483516e-05;8.8336245e-05
asic;9.648257e-07;4.0857853e-07;1.4310775e-06;8.0205064e-07;3.963562e-05;1.4607108e-06;4.092378e-07;7.9186175e-05;8.121038e-07;3.9336365e-07;8.0211413e-07;8.589196e-07;1.2291486e-06;6.5794455e-07;6.438475e-07;8.672565e-07;8.0378595e-07;1.629192e-06;4.5086864e-07;1.056782e-06;4.1668966e-07;1.1977783e-06;9.948632e-07
tokyo;0.0001810873;5.642353e-07;3.0978765e-06;1.138544e-05;1.6799838e-06;0.00015788041;5.338389e-07;1.111668e-06;0.0001024995;5.7607485e-07;8.906776e-07;1.790458e-06;1.148826e-06;1.129312e-06;8.1672283e-07;1.4001831e-05;1.2836614e-06;1.4504324e-06;5.9623227e-07;2.9926268e-06;5.415112e-07;3.079849e-05;1.546324e-06
testimony;1.5962132e-06;1.7839561e-06;1.4443456e-06;1.1708372e-06;5.2449553e-07;7.8970356e-07;1.402056e-06;1.3349445e-06;1.8168279e-05;1.8240872e-06;0.00015600545;5.191419e-05;3.848445e-05;0.00011629056;0.00013888156;3.0149454e-06;0.000118187316;1.2532745e-06;1.8083572e-06;1.9792453e-06;1.4355784e-06;2.1476649e-06;8.287093e-05
matter;1.1534988e-05;0.00092358043;4.208839e-06;6.486167e-05;2.6177066e-05;4.9837363e-06;0.0007888338;0.00060317205;0.00036094122;0.00090681994;0.0007733746;0.00033976146;0.00045049426;0.0023895844;0.0009271892;0.00037267176;0.0021579673;0.00025328557;0.0008852007;0.00044544207;0.0007362987;0.00023109764;0.00078296923
telecommunication;1.9456598e-05;5.6077573e-07;1.6131182e-06;4.581207e-06;2.2515449e-06;6.3984758e-06;5.5693454e-07;0.00052717427;3.1747427e-06;5.321149e-07;8.9707186e-07;1.3632653e-06;1.3685766e-06;1.060765e-06;7.339855e-07;9.572649e-07;7.8945203e-07;1.812171e-06;5.8823707e-07;8.921507e-05;5.2785145e-07;2.859775e-06;1.4048403e-06
idle;4.082068e-06;3.0301753e-06;1.8031573e-06;0.00016757728;4.2178963e-05;1.8358935e-06;3.0741319e-06;8.759382e-05;1.9218362e-06;2.3453326e-06;4.369918e-06;1.5232855e-06;2.3098573e-06;4.383797e-05;9.61306e-05;0.00039345617;3.6273327e-06;0.00039510708;2.9890755e-06;1.7289993e-06;3.0305644e-06;1.6964996e-05;1.8844344e-06
diving;5.5006603e-06;7.160464e-07;1.336223e-06;1.1454285e-06;8.513922e-07;1.1641694e-06;6.316585e-07;8.3838546e-07;1.0993571e-05;7.957251e-07;1.3257358e-06;1.1721172e-05;1.5749847e-06;1.2599863e-06;1.028629e-06;2.2678154e-05;8.196349e-06;1.0836242e-06;7.513528e-07;6.0930382e-05;6.250339e-07;1.5488728e-06;1.4521507e-06
timmon;9.151258e-07;3.636663e-07;9.646544e-07;7.07057e-07;4.0066934e-07;8.853248e-07;3.19396e-07;8.8144117e-07;8.5637123e-07;3.2041385e-07;5.823235e-07;9.4688806e-07;1.1884606e-06;0.00038239273;1.647929e-06;8.5361717e-07;2.1667768e-06;9.2069365e-07;3.6681624e-07;1.0704481e-06;3.1268138e-07;1.1079655e-06;1.0858281e-06
province;1.47504e-06;6.688228e-07;1.3533686e-06;9.96651e-07;1.2217586e-06;9.899475e-07;6.4147906e-07;1.3928595e-06;4.2216375e-06;7.8363064e-07;2.376622e-06;0.00037027756;2.432424e-06;1.4321263e-06;1.0054882e-06;4.9791597e-06;1.3939116e-06;6.3916516e-05;7.8371977e-07;2.8725904e-06;6.816952e-07;1.8181943e-06;0.00024861877
oscar;2.8237446e-06;1.0463968e-06;2.6265725e-06;1.3654522e-06;7.3138585e-06;6.544242e-06;1.0158479e-06;1.2053699e-06;1.7850624e-06;1.0416774e-06;1.3192405e-06;1.115793e-06;2.3911437e-06;1.3307322e-06;2.0851314e-06;0.00019750191;3.231972e-06;2.95882e-06;1.0777834e-06;7.1123945e-06;1.0471152e-06;2.0308855e-06;7.3976003e-06
lehigh;2.542792e-06;2.1227595e-06;0.00094846665;1.4206868e-06;7.1578856e-05;1.2647446e-05;2.531132e-06;1.4346169e-06;2.287663e-06;2.0122754e-06;1.00443385e-05;2.7764631e-06;3.3500835e-06;1.0875547e-06;7.920125e-07;6.816029e-05;1.0700453e-06;0.00038980832;2.1541025e-06;8.314471e-05;2.4187884e-06;2.8074294e-06;3.2247835e-06
impress;1.14207005e-05;1.6811662e-05;9.369152e-06;9.34122e-06;8.807033e-05;6.073979e-06;1.561955e-05;2.057139e-06;2.9086825e-06;1.6468666e-05;7.675083e-06;4.042135e-06;4.8937986e-06;2.4243924e-05;2.0081695e-06;3.7203397e-05;9.352895e-06;2.5305884e-05;1.733052e-05;2.5938602e-06;1.6664948e-05;7.474464e-05;1.7665184e-06
champ;1.0358021e-06;4.0321157e-07;1.4987912e-06;8.1228853e-07;5.409062e-06;1.1057604e-06;3.9241635e-07;7.5025207e-07;1.0040449e-06;4.10162e-07;8.2605413e-07;8.1050274e-07;1.1519988e-06;6.557596e-07;6.345842e-07;0.00034250523;8.429865e-07;1.1296431e-06;4.3575048e-07;1.0617938e-06;4.085312e-07;9.221096e-07;8.731708e-07
theserial;9.590125e-07;3.5587502e-07;1.2108793e-06;8.129907e-07;1.0746043e-05;1.1604659e-06;3.48669e-07;9.796374e-05;8.780575e-07;3.4412815e-07;8.047277e-07;8.9008756e-07;1.1186211e-06;6.931422e-07;6.358224e-07;8.7503764e-07;7.8788685e-07;1.587671e-06;3.8974878e-07;1.043571e-06;3.5351889e-07;1.1569122e-06;1.0343717e-06
sheffield;1.584725e-06;3.539022e-07;1.2304031e-06;4.7205787e-05;9.738442e-07;9.60944e-07;3.2055894e-07;6.969104e-07;8.894132e-07;3.5623972e-07;8.8054685e-07;1.1070549e-06;1.0761584e-06;7.851934e-07;6.9601117e-07;0.00019042243;9.5290136e-07;9.354824e-07;3.6965656e-07;1.0723343e-06;3.3324844e-07;1.2486022e-06;9.409631e-07
sarto;8.5208046e-07;2.5173352e-07;1.0723807e-06;6.5904834e-07;6.01321e-07;6.391465e-07;2.2763747e-07;6.5016025e-07;7.23183e-07;2.3549308e-07;7.6160154e-07;9.11171e-07;9.991953e-07;1.2445139e-06;0.00011863437;7.864663e-07;1.7870822e-06;9.0123496e-07;2.648784e-07;9.4683173e-07;2.3545505e-07;7.832727e-07;9.409362e-07
treasury;2.197296e-06;7.403208e-07;1.5494858e-06;8.34576e-07;1.0745888e-06;8.8993147e-07;6.436158e-07;2.350399e-05;9.0142414e-05;7.611763e-07;0.00010687301;2.0639534e-06;1.8928316e-06;1.2957842e-06;2.8445284e-05;1.4841163e-06;2.6804366e-06;9.970735e-06;7.9893726e-07;1.5295342e-06;6.3980673e-07;1.3815337e-06;3.5478253e-05
crony;2.5280835e-06;7.888704e-07;2.992725e-06;1.3729788e-06;9.3730074e-07;1.4560933e-06;6.9764434e-07;1.0865574e-06;5.114492e-06;9.065817e-07;2.3426472e-05;3.6894355e-05;1.4047857e-05;1.1121865e-06;1.0782663e-06;1.5790654e-06;1.8367707e-06;2.73287e-06;8.8539105e-07;1.5237339e-06;7.5486724e-07;1.2748252e-06;2.1726091e-05
velocity;2.9037021e-06;1.0417222e-06;2.369175e-06;1.0274657e-05;2.8362358e-05;5.7701204e-06;9.677494e-07;1.4646936e-06;1.6504972e-06;1.09744e-06;1.6406231e-05;1.3919282e-06;2.2677486e-06;2.414353e-06;9.642933e-07;1.3019397e-06;1.3481193e-06;3.0233545e-05;1.0813446e-06;0.00043988155;9.555612e-07;7.11672e-06;1.5415444e-06
easily;0.00044543287;0.00034019892;3.0991562e-06;0.00012209;0.00015184194;1.2174454e-05;0.00030426422;0.0006168243;1.3707645e-05;0.00033183052;5.2389307e-05;8.41478e-05;6.4828004e-05;0.00049259263;7.703921e-06;0.00024545158;0.00022058503;0.0003500014;0.00033717227;0.00015349219;0.00033092024;0.0008324963;0.000252412
honesty;1.0481348e-06;1.9664433e-06;1.2996464e-06;1.0794788e-06;9.633645e-07;1.1810214e-06;1.6600345e-06;1.3394002e-05;5.8233127e-06;1.8592607e-06;1.4600697e-06;1.3630234e-05;2.4894068e-06;4.229395e-05;3.516043e-05;1.0964415e-06;0.000121975274;1.8102417e-06;1.9832169e-06;1.3699141e-06;1.6760421e-06;1.7231712e-06;6.3413154e-06
nurse;1.7160147e-06;2.0431792e-06;1.8242574e-06;9.200442e-07;9.863314e-07;1.0820054e-06;1.7401028e-06;1.1554866e-06;1.6573325e-05;2.4793135e-06;6.5717926e-05;6.0033176e-06;2.9044918e-06;1.5011847e-06;1.1319636e-06;1.9006701e-06;2.2601394e-06;3.1189688e-06;2.2176157e-06;0.00014310538;1.7241438e-06;1.8204984e-06;4.1808904e-05
alarm;3.2218265e-06;1.6871015e-06;5.295096e-06;2.7231337e-05;2.9142684e-06;2.7080864e-06;1.5302859e-06;1.9373213e-06;1.9027177e-05;1.5903935e-06;1.988103e-06;2.8058764e-06;3.011703e-06;6.437956e-06;6.217508e-06;1.4143222e-06;7.5192625e-06;0.0010843516;1.7394584e-06;1.9665922e-06;1.5972739e-06;3.7177006e-06;1.7501512e-05
brunel;3.424748e-05;5.122861e-07;0.00011548954;1.5549715e-06;1.5457781e-06;0.00053293636;5.5772966e-07;1.0268499e-06;1.6008094e-06;4.4366047e-07;8.635748e-07;1.0549246e-06;1.7251151e-06;1.2658254e-06;3.923372e-05;8.638309e-07;2.695705e-06;1.1164568e-06;5.0578706e-07;2.8900722e-06;5.6581337e-07;1.7011282e-06;1.3237236e-06
bark;1.3178415e-06;9.739429e-07;1.8425569e-06;1.144088e-06;1.0673109e-06;9.852195e-07;8.7276754e-07;1.05733e-06;2.4813692e-06;1.1517317e-06;2.7326489e-05;5.2771993e-05;2.323702e-06;1.0168583e-06;8.864056e-07;7.5353582e-06;1.5447451e-06;3.6119563e-06;1.0601776e-06;6.913904e-05;8.8011444e-07;1.8655428e-06;1.640288e-06
gaia;8.5667995e-07;3.970925e-07;1.2806265e-06;7.027868e-07;1.1442038e-06;9.939214e-07;3.6787296e-07;9.434063e-07;8.9491124e-07;3.8835356e-07;9.222245e-07;6.531151e-07;1.1807413e-06;7.57091e-07;6.508546e-07;8.404296e-07;8.722693e-07;0.00017463008;4.1481616e-07;1.8417358e-06;3.849584e-07;1.098088e-06;9.184569e-07
mcdowell;9.638997e-06;6.69832e-07;2.7284073e-06;1.2709996e-06;9.775868e-07;2.8069355e-05;6.426602e-07;8.855242e-07;1.572469e-06;5.705118e-07;7.4966033e-07;1.2439109e-06;1.695093e-06;0.000116362;2.5459505e-05;1.0101827e-06;2.9004161e-06;1.3738392e-06;6.5916066e-07;1.28481215e-05;6.25758e-07;2.12249e-06;1.3596612e-06
kilroy;2.4223758e-05;4.0369252e-07;1.3859649e-06;1.194267e-06;6.140975e-07;1.5096651e-06;3.5442733e-07;7.9751277e-07;1.6318439e-06;3.5143927e-07;6.373562e-07;1.0975183e-06;1.3556166e-06;0.00015584564;7.0663978e-06;9.0468205e-07;1.8431721e-06;1.0767592e-06;4.0605994e-07;5.6849794e-06;3.5935423e-07;1.7417102e-06;1.2008859e-06
conductor;1.3696471e-06;1.0110043e-06;4.3132163e-06;9.925467e-07;3.4203686e-06;1.7786251e-06;9.2818044e-07;1.1982651e-06;1.1226211e-06;1.0580058e-06;3.9176048e-05;1.307502e-06;1.663244e-06;8.9652747e-07;8.7476036e-07;1.2718154e-06;1.2825075e-06;0.0006941028;1.0857208e-06;7.0734322e-06;1.0019926e-06;2.328875e-06;1.2400983e-06
cheese;1.1496128e-06;1.3536651e-05;1.4857992e-06;1.1692539e-06;2.3161742e-06;1.2986826e-06;1.2171137e-05;5.028433e-05;2.0966224e-06;1.4603606e-05;7.8981866e-05;2.0060347e-06;3.913904e-06;1.1404777e-05;1.2182221e-06;2.8841623e-05;5.141344e-06;2.0331715e-06;1.4148347e-05;5.687515e-05;1.2150463e-05;2.5581687e-06;9.71536e-06
necessaryto;1.3720029e-06;5.9016367e-07;1.4956184e-06;8.7277334e-07;7.635117e-06;1.4229829e-06;5.577164e-07;2.837585e-06;1.4747853e-06;5.7756614e-07;1.3306326e-06;1.2875221e-06;3.6576384e-06;2.1277556e-06;1.723216e-05;2.2984163e-06;1.9062236e-06;1.50504e-06;6.411999e-07;1.2485242e-06;5.8572545e-07;1.4853417e-06;4.2704865e-05
theyhave;2.1569224e-06;4.520758e-05;1.3717809e-05;1.5210569e-06;2.7482309e-05;3.2333132e-06;4.3794473e-05;4.6249384e-05;8.838546e-05;4.3112843e-05;2.7613899e-06;8.391504e-06;2.263845e-05;7.127585e-05;1.1477233e-05;5.521618e-06;3.2203592e-05;8.292796e-06;4.8063517e-05;3.377751e-06;4.2326734e-05;4.5314086e-06;2.20204e-05
intrinsic;7.963762e-06;5.058091e-07;1.746577e-06;0.00049835024;1.6105772e-06;4.992999e-06;4.4445864e-07;1.1459557e-06;1.0756452e-06;4.925888e-07;9.796735e-07;1.9016262e-06;1.3782362e-06;1.8849017e-06;1.7566337e-05;1.239074e-06;2.397276e-06;1.3964765e-06;5.1741966e-07;1.5641659e-06;4.5350706e-07;7.2928387e-06;1.6613145e-06
coordination;6.6823566e-05;3.837391e-07;1.4593768e-06;4.9821383e-06;9.1463784e-07;1.4153145e-06;3.4361187e-07;1.1330133e-06;4.8937352e-05;4.126172e-07;1.0730034e-06;1.8502853e-05;1.330764e-06;1.1924568e-06;8.757854e-07;2.8564891e-05;9.195304e-07;9.594547e-07;4.2789932e-07;4.329923e-06;3.541651e-07;1.9097447e-06;1.9791446e-06
documentary;1.1595334e-06;6.421721e-07;1.3783632e-06;8.9481534e-07;7.203448e-07;7.6630243e-07;5.2403897e-07;9.2268584e-07;2.148745e-06;7.5417677e-07;0.00026886442;8.477378e-05;2.2047057e-06;2.4855353e-06;1.4318015e-06;1.9623733e-06;1.9959398e-06;8.5389075e-07;7.164592e-07;1.227063e-06;5.6314275e-07;8.369426e-07;5.539096e-06
exploration;5.229077e-05;5.2746617e-07;3.7837615e-06;5.2854637e-05;9.4779966e-07;1.8387794e-06;4.601452e-07;8.9678485e-07;2.123688e-05;5.1686214e-07;6.819378e-07;3.4709894e-06;1.6007042e-06;3.2835076e-05;1.2342042e-06;8.8996507e-07;1.108404e-06;1.3189132e-06;5.468575e-07;0.0009705308;4.2968728e-07;5.2081386e-06;1.6089609e-06
thatmatter;1.3227432e-06;6.0102127e-07;1.8462226e-05;1.0766926e-06;3.2490618e-06;1.3219448e-06;6.112023e-07;1.1515094e-05;1.1335406e-06;5.5823267e-07;1.0908429e-06;8.511122e-07;2.0641235e-06;9.037865e-07;6.7801943e-07;2.8847055e-05;8.7942925e-07;8.7730505e-06;6.2497116e-07;1.5632681e-06;6.150509e-07;1.4884145e-06;1.1839784e-06
yesterday;5.0646895e-06;4.71187e-06;3.2116075e-06;1.8242868e-06;6.439929e-05;2.5582713e-06;4.1282788e-06;5.3481745e-06;0.0015767167;6.2331183e-06;0.00044944292;0.0002470897;3.730761e-06;1.1351309e-06;1.5892368e-06;0.00049051194;5.0412714e-06;3.7663644e-06;5.3858294e-06;5.6197852e-05;3.975453e-06;2.6659795e-06;4.825509e-06
democratic;2.0207951e-06;6.3885585e-07;1.3436346e-06;7.755821e-07;6.167456e-07;8.4326393e-07;5.242799e-07;1.466077e-06;0.00031050472;7.8135156e-07;2.6032058e-06;0.0001242188;2.0250511e-06;1.826392e-06;1.6834022e-06;1.476365e-06;2.9303197e-05;1.1830816e-06;7.1765453e-07;1.6325577e-06;5.3349123e-07;1.1553896e-06;0.0003787107
kingdom;0.00012483685;1.2493205e-06;5.0070944e-06;4.118842e-05;1.2180136e-06;2.7183303e-06;1.0086773e-06;1.5260193e-06;7.862646e-06;1.1351459e-06;2.1980727e-06;7.667479e-05;2.778562e-06;7.285155e-05;0.0009114848;1.1575308e-06;0.0002867003;1.2501959e-06;1.2572619e-06;9.08842e-06;1.047224e-06;5.0351746e-06;9.467641e-05
monosodium;1.0181886e-06;2.612243e-07;1.219684e-06;6.8494705e-07;6.575317e-07;8.762363e-07;2.3655319e-07;5.8718433e-07;1.0103943e-06;2.7886665e-07;7.835317e-07;8.906836e-07;9.992688e-07;6.964393e-07;5.9840306e-07;8.5541245e-07;7.461334e-07;9.626644e-07;2.7491038e-07;7.073153e-05;2.3102758e-07;8.791869e-07;8.108485e-07
