;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
renounce;8.547054e-07;1.447306e-06;4.8666345e-07;1.3664634e-06;2.4945923e-05;2.1507685e-06;2.4733715e-06;8.048675e-07;1.2443592e-06;1.2524836e-06;1.5499822e-06;1.2258819e-06;9.3975785e-07;9.0135103e-07;8.391495e-07;4.4051868e-07;2.3190985e-05;4.636009e-07;1.025621e-06;0.000119041884
standardized;8.4850046e-07;1.2558318e-06;2.4088257e-07;1.8086444e-06;1.180713e-06;2.5376587e-06;5.2728564e-07;2.1871443e-05;1.4570734e-06;2.9405326e-06;1.0156422e-05;8.382461e-07;4.5504585e-06;2.6120613e-05;2.94496e-06;2.4176282e-07;8.926663e-07;2.4661537e-07;9.875038e-07;1.0459962e-06
brush;4.3873737e-05;2.8586182e-06;1.1007179e-06;2.4914461e-06;9.045876e-06;4.294497e-06;4.0291693e-06;5.7373803e-05;1.7009087e-06;5.407761e-06;3.0304433e-05;1.5598076e-05;1.5602602e-06;1.45124e-05;1.7823696e-06;1.0016205e-06;4.8410902e-06;1.0985648e-06;1.7800497e-06;3.9818802e-05
gregory;1.2664391e-06;2.686507e-06;1.4559173e-06;2.6527898e-05;1.6531295e-06;0.0012436316;5.055983e-07;5.1212315e-05;8.855263e-07;3.0668154e-05;3.4026793e-06;2.4107264e-06;0.0001839804;2.256538e-06;3.4819911e-06;1.4808794e-06;5.27954e-05;1.6099757e-06;1.1466344e-05;2.9651767e-06
steam;1.5444512e-06;1.7349247e-06;9.0950977e-07;1.6104506e-05;1.0214906e-06;2.5965621e-06;9.0586e-07;1.6540439e-06;1.2482766e-06;1.7524895e-06;3.475761e-05;1.1877281e-06;1.5964429e-06;1.4203251e-06;0.0005033944;9.5098596e-07;1.1176295e-06;8.9814057e-07;4.4017347e-06;3.379903e-06
badly;0.0003420912;1.3889639e-05;2.077124e-05;6.175452e-05;4.798601e-05;2.3675111e-06;6.255572e-05;1.9770182e-06;8.210046e-05;1.9439867e-06;2.600039e-06;0.00014488402;4.2830034e-06;3.404792e-05;2.4837334e-05;1.923127e-05;1.05365625e-05;1.9327264e-05;7.5118885e-05;3.1538536e-06
david;0.00059425936;0.00057727535;0.0007604274;0.00060393626;0.0006990282;0.0041099256;4.9747123e-05;0.0007296446;0.0030265036;0.0048993835;0.002358738;0.0021755996;0.00087985094;0.0004105219;0.00062738097;0.00084446283;0.0011786968;0.0008209573;0.0019909013;0.00039503712
lourde;3.615635e-05;1.7548515e-06;4.7847783e-07;1.7658846e-06;1.3942349e-06;1.6812456e-06;1.5594808e-06;6.8130214e-07;7.9397216e-07;1.2360621e-06;4.0587798e-05;1.184423e-06;1.0406179e-06;8.783545e-07;1.2472802e-06;4.4318347e-07;0.00010751071;4.7518634e-07;1.23949e-06;1.7732672e-06
connecticut;1.3280866e-06;5.5258155e-05;4.4545988e-07;4.836418e-06;7.040486e-06;0.0001064794;9.2539295e-07;9.923421e-06;2.6780467e-06;3.266129e-06;1.4287394e-05;2.032575e-06;1.1354946e-06;9.984652e-07;1.606007e-05;4.5264355e-07;7.400802e-07;4.587048e-07;4.793094e-06;1.151675e-06
energia;8.541642e-07;1.3051276e-06;2.0622552e-07;0.00016653864;9.465542e-07;1.7659189e-06;3.31787e-07;1.1190753e-06;1.0609517e-06;8.9106493e-07;1.2250416e-06;7.9425485e-07;9.164996e-07;7.486822e-07;1.0752996e-06;2.1297318e-07;7.341353e-07;2.0228188e-07;9.3543497e-07;1.0518802e-06
middle;0.00035992748;0.00028853965;0.00010861142;3.0537078e-05;0.0007651922;0.0008118747;5.172024e-05;6.8429335e-06;6.899496e-05;1.6975388e-05;1.0350825e-05;4.6883295e-05;0.00010324933;4.0697578e-05;0.0002215884;0.00010821108;0.00016602997;0.00011025342;0.00028826747;0.00013784882
asic;7.8539654e-07;1.2570744e-06;3.8272967e-07;1.2985959e-06;9.450272e-07;1.5443435e-06;5.886275e-07;1.0254278e-06;8.382508e-05;1.743915e-06;9.920301e-07;1.0553873e-06;4.4122713e-05;9.939487e-07;1.2905073e-06;3.9583796e-07;7.7134496e-07;3.9425e-07;9.124673e-07;1.0231728e-06
tokyo;1.0658944e-06;7.825309e-05;2.9418345e-07;1.9080433e-05;1.6776738e-06;5.2647547e-06;8.4241276e-07;0.00021662468;1.5513883e-06;3.8250306e-05;1.877995e-06;1.4340762e-06;2.2893148e-06;8.47302e-06;1.4341985e-06;2.9489914e-07;8.691011e-07;3.0672527e-07;4.5042752e-06;1.0553297e-06
testimony;0.00013555762;2.73769e-05;1.1182221e-06;2.646787e-06;5.391969e-05;2.4756705e-06;7.844908e-06;8.214664e-07;1.5922669e-06;9.343179e-07;4.9344353e-06;0.00016664896;1.1019989e-06;1.2911111e-06;1.0596104e-06;9.2586174e-07;0.00021459746;1.0348642e-06;3.5009416e-06;0.0001273511
matter;0.0005667808;0.00042396918;0.00092589157;0.0007484679;0.00047412646;1.4998513e-05;0.0015159239;8.946308e-06;0.00060135446;7.4792606e-06;0.00033226778;0.0011670482;4.105279e-05;8.9066234e-05;0.00032805145;0.000869355;0.00085831864;0.0008836595;0.0004603025;0.002191923
telecommunication;8.823018e-07;4.0140076e-06;3.6926082e-07;0.00015659806;1.3151835e-06;2.2626375e-06;5.7211537e-07;1.4330681e-05;0.0003596268;1.9440904e-06;1.5484989e-06;1.16836e-06;1.4503778e-06;4.67611e-06;1.7809424e-06;3.8681813e-07;7.213097e-07;3.774268e-07;1.0794088e-06;1.320179e-06
idle;2.1872006e-06;2.1785354e-06;4.325939e-06;3.1727109e-06;1.7092383e-06;2.6682512e-06;2.1941526e-06;3.4383793e-06;8.0049795e-05;3.0851922e-06;2.5760696e-06;2.478556e-06;5.745066e-05;0.0001679314;0.0002895276;4.058889e-06;6.6738685e-05;4.4272706e-06;0.00042159765;3.488768e-05
diving;1.5580749e-06;7.01601e-06;5.347507e-07;6.0002014e-05;8.8989555e-06;2.3731918e-06;1.9229124e-06;5.0768335e-06;1.3374466e-06;1.4485897e-06;1.6783423e-06;1.3836641e-06;9.950483e-07;1.0646197e-06;1.0915428e-06;5.294306e-07;1.0318655e-06;5.219523e-07;1.4000776e-05;1.404317e-06
timmon;4.3330306e-07;7.165764e-07;4.0950115e-07;1.106981e-06;1.2969488e-06;1.4153512e-06;1.7774876e-06;6.2738405e-07;9.877666e-07;1.03388e-06;1.181321e-06;6.2255924e-07;8.1033284e-07;7.671526e-07;7.0603244e-07;3.7680135e-07;2.5646111e-06;3.9127036e-07;8.8750033e-07;0.0003858031
province;2.5208399e-06;0.00018865713;3.5161668e-07;1.5545996e-06;0.00032672772;2.849982e-06;2.007794e-06;1.7121992e-06;1.445853e-06;1.2292275e-06;2.3772649e-05;3.431953e-06;1.0451253e-06;1.0619945e-06;4.2298267e-05;3.5237426e-07;8.067245e-07;3.3473958e-07;2.0212606e-06;1.4614026e-06
oscar;1.8537745e-06;6.6403254e-06;9.176752e-07;2.202758e-05;1.2686254e-06;3.6095068e-06;1.0480218e-06;2.7017998e-06;1.4519715e-06;4.091217e-06;1.7846482e-06;1.7856355e-06;8.406961e-06;1.2437031e-06;2.44842e-06;9.079029e-07;1.9310207e-06;9.323113e-07;0.00012426359;1.3814973e-06
lehigh;1.9324577e-06;5.139003e-06;5.5957307e-06;2.9667408e-06;1.9921388e-06;0.0007944859;1.0628033e-06;4.167496e-06;9.5034915e-07;4.539534e-05;0.00019164018;1.1019756e-05;9.123269e-05;1.4691612e-06;0.0004863431;6.144757e-06;1.0351437e-06;5.812294e-06;4.956991e-05;1.8084331e-06
impress;2.361009e-06;2.118894e-06;3.0270061e-05;2.4739822e-06;3.3506008e-06;2.0418947e-05;2.7007904e-05;7.3825313e-06;2.1509702e-06;1.595008e-05;2.9535488e-05;3.044896e-06;9.650268e-05;7.5281296e-06;3.073355e-05;2.9575322e-05;2.404079e-06;3.0058549e-05;2.4614132e-05;1.9431773e-05
champ;9.333604e-07;1.0991995e-06;5.2076206e-07;1.1885577e-06;1.0414172e-06;2.319389e-06;5.69251e-07;8.1523467e-07;8.1624887e-07;1.982336e-06;1.1971715e-06;9.905062e-07;8.988539e-06;7.570878e-07;1.3785175e-06;5.056489e-07;7.9894636e-07;5.326958e-07;0.00029857998;9.3990155e-07
theserial;8.0548836e-07;1.3086435e-06;3.3347655e-07;1.2270142e-06;9.474167e-07;1.8043362e-06;7.098327e-07;9.969478e-07;0.00011991779;1.4587542e-06;1.1103219e-06;1.05564e-06;7.0754427e-06;8.708719e-07;1.2412237e-06;3.3903243e-07;7.044151e-07;3.3941032e-07;9.0974936e-07;1.009932e-06
sheffield;1.0417414e-06;9.85163e-07;3.5908485e-07;1.3640455e-06;1.2509383e-06;1.6356709e-06;5.4124246e-07;1.4778318e-06;9.694213e-07;1.5117795e-06;1.2284554e-06;9.052924e-07;1.3953987e-06;5.4196564e-05;1.1600878e-06;3.4054867e-07;7.9177914e-07;3.573606e-07;0.0001860506;1.0261924e-06
sarto;1.119206e-06;8.8486644e-07;2.3616019e-07;1.2153866e-06;1.1220732e-06;1.6344889e-06;8.3503e-07;7.445874e-07;7.503669e-07;1.0829991e-06;1.1190795e-06;9.4538296e-07;9.424261e-07;6.7916386e-07;8.071684e-07;2.1421656e-07;0.00011907474;2.3281012e-07;8.98379e-07;1.9106399e-06
treasury;1.8237521e-06;5.211997e-05;5.103109e-07;1.9387885e-06;1.7580765e-06;2.8246254e-06;1.9810782e-06;1.407784e-06;2.4610543e-05;1.168566e-06;1.4312698e-06;0.000115977535;1.2629662e-06;8.0264823e-07;8.318128e-06;4.5657623e-07;2.5630012e-05;4.9768386e-07;1.3432946e-06;1.8984199e-06
crony;3.1972413e-05;1.5169757e-05;5.072758e-07;1.8031091e-06;4.031051e-05;5.69158e-06;1.8526216e-06;9.974186e-07;1.3421729e-06;1.577124e-06;1.7434897e-06;1.3028039e-05;1.0749478e-06;1.0792668e-06;1.4876343e-06;4.828605e-07;1.0727504e-06;4.877665e-07;1.5412556e-06;8.7138005e-07
velocity;1.5591719e-06;2.5724166e-06;6.780343e-07;0.0006011711;1.5499812e-06;3.5371856e-06;3.7619523e-07;2.5332502e-06;2.0691225e-06;1.5328038e-06;4.5795323e-06;1.5371576e-05;2.03882e-05;1.6600612e-06;1.02213435e-05;7.0104795e-07;1.0677073e-06;6.458369e-07;1.4759693e-06;2.5589432e-06
easily;1.04960045e-05;2.384622e-05;0.00028161574;0.00017848297;0.00011318297;7.976958e-06;0.0003287821;0.00046880488;0.0006899371;2.0822814e-05;0.00020269596;0.00024676183;0.00015498495;0.00022595971;0.0003657733;0.00027224468;2.7240549e-05;0.00027457598;0.00028746843;0.0004710681
honesty;1.7900525e-06;6.309241e-06;1.8339061e-06;1.658068e-06;1.897175e-05;2.0654172e-06;2.1221047e-05;9.968784e-07;1.7832255e-05;1.492105e-06;1.7255521e-06;4.2713523e-06;1.203508e-06;1.1305648e-06;1.3731785e-06;1.6106974e-06;6.8451394e-05;1.7339079e-06;1.2318444e-06;3.564028e-05
nurse;0.00010129083;3.6525013e-05;6.00689e-07;1.9244235e-06;2.740717e-06;2.09023e-06;2.3661678e-06;8.434328e-07;1.0771568e-06;1.5986361e-06;0.00017900312;1.561881e-06;9.726183e-07;8.3639264e-07;2.0993477e-06;5.9178063e-07;1.077738e-06;5.97117e-07;1.4403781e-06;7.4582783e-07
alarm;8.9040595e-06;1.5533918e-05;1.923182e-06;3.0503809e-06;2.7281242e-06;4.188539e-06;2.8102663e-06;2.8682937e-06;2.3058503e-06;2.4472233e-06;4.029804e-06;8.082943e-06;2.5508336e-06;2.8542741e-05;0.0010152451;1.8878252e-06;5.8581636e-06;1.8651305e-06;1.685224e-06;3.6015526e-06
brunel;8.849368e-07;1.7282877e-06;8.80759e-07;3.5679815e-05;1.0083901e-06;0.00051879964;7.1334256e-07;0.00010442828;1.2677056e-06;9.903871e-05;1.7285398e-06;1.0456524e-06;2.1901096e-06;1.793038e-06;1.9125773e-06;8.827215e-07;2.7002e-05;9.2639e-07;1.2540409e-06;2.3016714e-06
bark;5.716978e-05;2.1852438e-06;7.3853397e-07;3.0760768e-06;3.322165e-05;2.6362952e-06;2.1630483e-06;7.100141e-07;8.803084e-07;1.3407555e-06;7.513975e-05;1.3333625e-06;8.748545e-07;9.569428e-07;2.601497e-06;7.4120663e-07;1.1095457e-06;7.1584435e-07;3.023817e-06;9.2241606e-07
gaia;1.0295203e-06;8.661376e-07;4.1883735e-07;1.3433618e-06;7.021339e-07;2.335922e-06;5.7129694e-07;7.976518e-07;9.357456e-07;1.703532e-06;1.9606994e-06;7.471487e-07;1.1337168e-06;7.174392e-07;0.00012415582;4.284848e-07;6.927789e-07;4.1646302e-07;1.0361572e-06;8.394434e-07
mcdowell;5.3627014e-07;1.2103343e-06;5.9977026e-07;2.7832395e-05;1.0715028e-06;5.5815854e-06;1.0690316e-06;2.1985427e-06;9.223221e-07;4.8418483e-06;1.691909e-06;8.735095e-07;1.3557858e-06;1.0209769e-06;1.2094036e-06;5.6930037e-07;1.6065236e-05;5.872387e-07;1.2294748e-06;6.8881636e-05
kilroy;4.1515176e-07;1.3148697e-06;3.842676e-07;2.4109751e-05;1.2158055e-06;2.3569476e-06;1.2149105e-06;1.5965752e-05;1.124246e-06;2.2760933e-06;1.7205928e-06;8.637743e-07;1.1342964e-06;1.211415e-06;9.922453e-07;3.6087818e-07;1.0854748e-05;3.8309517e-07;9.989832e-07;0.00013158207
conductor;7.0501526e-05;1.7880606e-06;1.3604838e-06;1.0974205e-05;1.2255304e-06;4.0630525e-06;6.965668e-07;1.3480332e-06;9.762942e-07;2.3917444e-06;2.1466265e-06;1.4056816e-06;2.5015343e-06;1.5400069e-06;0.00048177573;1.3865853e-06;1.6087727e-06;1.3349485e-06;1.5032813e-06;8.0074426e-07
cheese;6.327369e-05;2.605921e-06;1.9040694e-06;2.3072346e-06;2.1609867e-06;2.6987384e-06;3.5886517e-06;8.0052405e-07;3.3180488e-05;1.4497797e-06;9.90258e-05;4.162967e-05;2.7913923e-06;1.2251163e-06;1.7768572e-06;1.7714935e-06;1.788793e-06;1.8706846e-06;2.7425183e-05;6.2034455e-06
necessaryto;1.4019392e-06;2.2027612e-06;7.917806e-07;2.4103404e-06;1.4630755e-06;2.174586e-06;2.0524437e-06;1.131004e-06;4.736124e-06;1.5532594e-06;1.3088743e-06;3.5438847e-05;1.07562e-05;9.574568e-07;1.3058874e-06;7.185446e-07;1.3848908e-05;7.697171e-07;1.944094e-06;4.3983014e-06
theyhave;1.8916598e-05;9.4333154e-05;1.9821917e-05;5.899877e-06;7.5313856e-06;5.3084e-06;7.6705415e-05;1.2875147e-06;4.595667e-05;4.3598234e-06;6.1076653e-06;2.2945656e-05;3.762175e-05;1.7081132e-06;8.211726e-06;1.8480709e-05;1.533724e-05;1.9412542e-05;5.432375e-06;6.2984145e-05
intrinsic;1.9071535e-06;1.4894354e-06;3.6018716e-07;2.9977268e-06;2.0613654e-06;1.4496215e-06;1.030177e-06;7.068276e-06;1.6699328e-06;3.2967723e-06;1.8841051e-06;1.0612079e-06;2.9243388e-06;0.000587031;1.4906593e-06;3.3917345e-07;1.2394827e-05;3.5204408e-07;1.0017366e-06;2.190557e-06
coordination;1.0932243e-06;3.3231656e-05;2.0722565e-07;1.7948261e-05;1.3631772e-05;2.6720863e-06;7.577382e-07;5.1054096e-05;1.6048119e-06;2.0716595e-06;1.7426985e-06;1.5412825e-06;1.1776193e-06;3.6823642e-06;1.0569721e-06;2.0450553e-07;8.3053743e-07;2.1150453e-07;1.9768253e-05;1.1189339e-06
documentary;1.8773496e-06;5.876786e-06;3.2696948e-07;1.3526511e-06;0.00010196526;2.736596e-06;1.5831646e-06;9.3272644e-07;1.4717245e-06;8.142429e-07;1.3201317e-06;0.00024037498;9.522601e-07;7.539694e-07;8.5052574e-07;2.9430294e-07;1.4592897e-06;3.019348e-07;1.2732305e-06;2.8841162e-06
exploration;9.3711975e-07;4.895053e-06;4.7219945e-07;0.0012306086;3.1478382e-06;2.1235596e-06;7.504116e-07;3.645437e-05;2.55648e-06;1.9800875e-06;3.0058682e-06;9.878827e-07;1.9265815e-06;4.3487387e-05;1.7733715e-06;4.851046e-07;1.7005417e-06;4.6185602e-07;1.3169298e-06;3.7510934e-05
thatmatter;1.2345928e-06;1.3953838e-06;6.853846e-07;6.4240994e-06;1.0319194e-06;2.6075402e-06;8.639013e-07;1.5264019e-06;1.1155496e-05;1.7763716e-06;1.5109497e-06;1.1267309e-06;3.2925632e-06;1.2509892e-06;6.859266e-06;6.939279e-07;8.7599267e-07;6.9453046e-07;3.5127054e-05;1.15965e-06
yesterday;2.1939097e-05;0.0012302882;8.241178e-06;0.00013800048;0.00029735116;7.721607e-06;1.7354687e-05;3.520875e-06;7.0395186e-06;2.391254e-06;3.9944844e-06;0.00034514465;6.9733454e-05;1.817152e-06;6.1446e-06;7.989794e-06;1.6830073e-06;7.749595e-06;0.0005438248;3.7817144e-06
democratic;2.8910833e-06;0.000686742;3.4589112e-07;1.9270058e-06;0.0001527777;2.7915287e-06;4.9215846e-06;1.4005461e-06;3.5764836e-06;9.358375e-07;2.1869491e-06;0.000144741;9.287385e-07;7.973071e-07;9.3235406e-07;3.1481488e-07;1.3134653e-06;3.2403813e-07;1.3941757e-06;2.1227925e-06
kingdom;2.6749042e-06;2.0618063e-05;5.003971e-07;9.029558e-06;7.660855e-05;4.322693e-06;4.502942e-06;0.00016466208;2.103206e-06;5.1077477e-06;2.9409863e-05;2.068654e-05;2.6056953e-06;2.2313729e-05;1.865997e-06;4.3607753e-07;0.0009849878;5.023129e-07;1.4197764e-06;6.936139e-05
monosodium;9.754109e-07;1.1141566e-06;2.3503924e-07;1.2314819e-06;9.578179e-07;1.8373705e-06;6.637635e-07;8.9463884e-07;7.3150215e-07;1.2867949e-06;0.000140723;7.98773e-07;8.8632424e-07;6.369661e-07;1.0967286e-06;2.3452199e-07;7.152624e-07;2.3389256e-07;9.813723e-07;1.0750783e-06
highway;7.0086635e-06;0.00019180356;1.576507e-06;3.1975123e-06;3.5336147e-06;4.6995074e-06;3.1677562e-06;2.7696573e-05;3.2373357e-06;5.8810347e-06;3.145212e-05;3.989569e-06;5.2253778e-05;3.6951794e-06;0.0007782184;1.623403e-06;7.5029557e-06;1.6272456e-06;2.4345575e-06;1.6825709e-06
accomplishment;1.6215297e-06;5.4137457e-05;6.836299e-07;3.025791e-06;1.5220515e-06;2.4322455e-06;3.907589e-06;1.142822e-06;1.8779947e-06;1.5119367e-06;8.9497935e-06;1.6207634e-06;8.2250835e-07;7.112107e-07;1.1934843e-06;6.4562687e-07;9.157642e-07;6.7664666e-07;4.1861666e-05;2.3591474e-06
tendency;3.102029e-06;4.2714732e-06;5.8491446e-06;2.2224185e-06;9.809046e-06;3.0537376e-06;1.843851e-05;1.3661326e-06;2.9568386e-05;3.4084142e-06;2.3935509e-05;2.1714682e-06;9.311654e-06;1.602651e-06;7.1896766e-06;5.407841e-06;9.6186086e-05;5.785511e-06;7.1858744e-06;0.000114993985
suspicious;4.5397825e-05;1.0739835e-05;4.90259e-06;2.5892887e-06;2.252806e-06;4.5985303e-06;7.867941e-06;2.6650564e-06;5.1197527e-05;4.181528e-06;1.4977467e-05;2.4401566e-05;2.4639368e-05;5.0934864e-06;2.5629348e-05;4.672381e-06;3.784469e-05;4.908821e-06;1.8414266e-06;2.6065263e-06
affiliate;2.679109e-05;6.644437e-06;9.118451e-07;2.4993494e-06;4.4392462e-05;2.3252704e-05;2.4479061e-06;6.902789e-05;3.0607714e-06;4.4222597e-06;4.4042386e-06;3.642832e-05;1.5760392e-06;1.0494922e-05;1.5429979e-06;8.319277e-07;4.5267234e-06;9.199288e-07;5.6757028e-05;1.3185119e-06
philly;9.901187e-07;1.04683e-06;5.374963e-07;1.2448402e-06;8.405222e-07;2.543054e-06;5.3116827e-07;7.8052705e-07;7.240107e-07;1.8011939e-06;5.6314902e-06;9.0604897e-07;3.0723243e-06;6.8018926e-07;1.1105321e-05;5.2560375e-07;6.728464e-07;5.4226393e-07;0.0003105029;8.8790995e-07
belly;9.504686e-05;1.7501252e-06;4.166204e-07;1.9761332e-05;1.861968e-05;1.6827471e-06;9.62664e-07;6.4101437e-07;9.2717875e-07;1.0113124e-06;2.932391e-06;1.1642679e-06;8.3248483e-07;8.924538e-07;1.2502312e-06;4.2442923e-07;1.0671556e-06;4.026156e-07;1.1208458e-06;6.567587e-07
conditt;1.2261293e-06;8.892604e-07;2.4911276e-07;1.2166217e-06;1.0876605e-06;1.6416013e-06;9.107716e-07;7.148434e-07;7.783073e-07;1.0622647e-06;1.1107171e-06;9.4905226e-07;9.271429e-07;6.982866e-07;8.6180967e-07;2.2674271e-07;7.540364e-05;2.4528077e-07;9.0816303e-07;1.8058204e-06
anti;0.00061185803;0.0011131158;5.9654476e-06;0.00031053604;0.0017979901;1.19127435e-05;5.803894e-05;4.6924055e-05;4.081984e-06;2.5336576e-06;0.001181201;0.0006081293;3.9349557e-06;7.152139e-06;8.089355e-06;5.7702746e-06;0.00014439909;5.7896395e-06;3.2213209e-06;0.00027715534
socialist;1.4852779e-05;0.0005729715;3.8767055e-07;2.078765e-06;5.8867245e-05;2.742409e-06;4.3962996e-06;1.2528616e-06;2.0806706e-06;8.981607e-07;2.4584708e-06;0.00027272702;1.0257478e-06;8.4759415e-07;9.851237e-07;3.5318607e-07;1.464004e-06;3.656653e-07;1.4943762e-06;1.3251388e-06
catholic;2.719672e-06;4.1064254e-06;3.1107425e-07;3.2779908e-06;1.2496673e-05;2.5575375e-06;2.522068e-06;1.8261896e-06;1.5110588e-06;1.1093543e-06;2.7223666e-06;1.9887402e-06;1.2559398e-06;1.8575836e-06;1.4755536e-06;2.6474927e-07;0.0024703115;3.051896e-07;1.3607372e-06;3.47459e-05
